"rbr","name","date","stars","review","lang","thumb","reply"
1,"Jason",2020-06-12,5," By far the best app I've used for trucking. I like having multiple options displayed and updated on the fly, and I like that I can add stops and see truck stops or rest areas on the fly as I'm driving. However, I would like to see an option to set favorites for selecting which button to use when sea...Full ReviewBy far the best app I've used for trucking. I like having multiple options displayed and updated on the fly, and I like that I can add stops and see truck stops or rest areas on the fly as I'm driving. However, I would like to see an option to set favorites for selecting which button to use when searching for things. For example I dont need to see the food or truck services icons and don't like to hit the 3 dots to scroll and search for rest stops. Can you make that option to set favorites?","en",4,NA
2,"Luis Walker",2020-06-15,3," Go beta. Thanks for taking the time to acknowledge us. Some developers don't do that. I recently used the app & took a different route than the one suggested by copilot. The app insisted on turn around for about 3 miles then rerouted. I suggest a reroute (recalculation) input directly from the user ...Full ReviewGo beta. Thanks for taking the time to acknowledge us. Some developers don't do that. I recently used the app & took a different route than the one suggested by copilot. The app insisted on turn around for about 3 miles then rerouted. I suggest a reroute (recalculation) input directly from the user that shows up right after the user deviates from the route suggested by the app. An alternative is auto-recalculate sooner than the above about 3 miles off route.","en",0,"Hi Luis, Thanks for your review. Please provide us with more details about your trip and the routing issue you have experienced? You can contact our support team via this link:  https://goo.gl/trBXr6
Thank you so much!"
3,"Adrian Vulcan",2020-06-14,1," Beware of low bridges I used this app in Truck configuration and despite you make an set up of your truck height is not taking this in consideration and you risk of a bridge strike. I found myself face to face with a low bridge and had to reverse half a mile in order to turn around. Set height of ve...Full ReviewBeware of low bridges I used this app in Truck configuration and despite you make an set up of your truck height is not taking this in consideration and you risk of a bridge strike. I found myself face to face with a low bridge and had to reverse half a mile in order to turn around. Set height of vehicle in app 16' and route calculated with a low bridge at 14' 9"". For this solely reason I advise every truck driver to avoid this app. I can provide evidence. Genuine situation BEWARE AND AVOID","en",0,"Hello Andrian,
Your problem needs more detailed examination. Please report it to our technical support team at https://goo.gl/trBXr6. We are always looking to help our users.
Thank you!"
4,"Peter&Terri Maslona",2020-06-11,1," The app continually wanted us to turn around. Also everytime we reopened the app it would recalculate and give multiple route options instead of just restarting where we left off. Will try once more on way home but at this point am glad I am still in free trial Also is not up to date for Harrisburg ...Full ReviewThe app continually wanted us to turn around. Also everytime we reopened the app it would recalculate and give multiple route options instead of just restarting where we left off. Will try once more on way home but at this point am glad I am still in free trial Also is not up to date for Harrisburg PA, route from PA 22 to I81 is at least 10 years old, makes me worry what else may be wrong","en",0,"Hi Peter & Terri, thanks for your review. That doesn't sound right! Can you give us more information at https://goo.gl/trBXr6 so that we can investigate."
5,"Jason",2020-06-12,5," By far the best app I've used for trucking. I like having multiple options displayed and updated on the fly, and I like that I can add stops and see truck stops or rest areas on the fly as I'm driving. However, I would like to see an option to set favorites for selecting which button to use when sea...Full ReviewBy far the best app I've used for trucking. I like having multiple options displayed and updated on the fly, and I like that I can add stops and see truck stops or rest areas on the fly as I'm driving. However, I would like to see an option to set favorites for selecting which button to use when searching for things. For example I dont need to see the food or truck services icons and don't like to hit the 3 dots to scroll and search for rest stops. Can you make that option to set favorites?","en",4,NA
6,"Luis Walker",2020-06-15,3," Go beta. Thanks for taking the time to acknowledge us. Some developers don't do that. I recently used the app & took a different route than the one suggested by copilot. The app insisted on turn around for about 3 miles then rerouted. I suggest a reroute (recalculation) input directly from the user ...Full ReviewGo beta. Thanks for taking the time to acknowledge us. Some developers don't do that. I recently used the app & took a different route than the one suggested by copilot. The app insisted on turn around for about 3 miles then rerouted. I suggest a reroute (recalculation) input directly from the user that shows up right after the user deviates from the route suggested by the app. An alternative is auto-recalculate sooner than the above about 3 miles off route.","en",0,"Hi Luis, Thanks for your review. Please provide us with more details about your trip and the routing issue you have experienced? You can contact our support team via this link:  https://goo.gl/trBXr6
Thank you so much!"
7,"Adrian Vulcan",2020-06-14,1," Beware of low bridges I used this app in Truck configuration and despite you make an set up of your truck height is not taking this in consideration and you risk of a bridge strike. I found myself face to face with a low bridge and had to reverse half a mile in order to turn around. Set height of ve...Full ReviewBeware of low bridges I used this app in Truck configuration and despite you make an set up of your truck height is not taking this in consideration and you risk of a bridge strike. I found myself face to face with a low bridge and had to reverse half a mile in order to turn around. Set height of vehicle in app 16' and route calculated with a low bridge at 14' 9"". For this solely reason I advise every truck driver to avoid this app. I can provide evidence. Genuine situation BEWARE AND AVOID","en",0,"Hello Andrian,
Your problem needs more detailed examination. Please report it to our technical support team at https://goo.gl/trBXr6. We are always looking to help our users.
Thank you!"
8,"Peter&Terri Maslona",2020-06-11,1," The app continually wanted us to turn around. Also everytime we reopened the app it would recalculate and give multiple route options instead of just restarting where we left off. Will try once more on way home but at this point am glad I am still in free trial Also is not up to date for Harrisburg ...Full ReviewThe app continually wanted us to turn around. Also everytime we reopened the app it would recalculate and give multiple route options instead of just restarting where we left off. Will try once more on way home but at this point am glad I am still in free trial Also is not up to date for Harrisburg PA, route from PA 22 to I81 is at least 10 years old, makes me worry what else may be wrong","en",0,"Hi Peter & Terri, thanks for your review. That doesn't sound right! Can you give us more information at https://goo.gl/trBXr6 so that we can investigate."
9,"Rode Stub S",2020-05-28,5," It is for life. If your phone bill is not paid it works. Maps go in sd card. Best load Canada and USA in one pick. Every way to traval is covered from walking to heavy simi. And app and maps auto update. If you set your settings for auto update apps Road trafic bar green yellow red for stop and go t...Full ReviewIt is for life. If your phone bill is not paid it works. Maps go in sd card. Best load Canada and USA in one pick. Every way to traval is covered from walking to heavy simi. And app and maps auto update. If you set your settings for auto update apps Road trafic bar green yellow red for stop and go trafic. Black for road closed. Like snow or exstream bad acedent.","en",7,NA
10,"Joe OMelia",2020-06-11,5," New version brings a lot back congrats, but as a rv'er propane restrictions would be handy, but it still is my go-to nav program, have been using it for close to 20 years, back when it was a pc program and came on a floppy disk","en",5,"Hi Joe, thanks for providing your feedback. We’d appreciate if you could tell us a bit more about what issue are you experiencing with CoPilot in order to assist and resolve your issues? Please contact the support team at support.copilotgps.com/en/support/tickets/new"
11,"steve vaught",2020-06-08,3," Use to be real good. Dont know when things changed. I use to have Hawaii map. Now when updating maps it doesnt update Hawaii. It doesn't even show it as one of my maps. I cant select new maps to add. Otherwise I would select Hawaii and install it. It updates Alaska and north America fine","en",0,"We are really sorry for the trouble and we appreciate you bringing this issue to our attention at https://goo.gl/trBXr6. We will look into this further!"
