"rbr","name","date","stars","review","lang","thumb","reply"
2,"Rc Prod",2020-06-11,4," This app was hit or miss until I found I had an issue with my LG G5 phone. It was not picking up the satellites very well. When I use this app on my wife's phone it works nicely. Happy with this apps functionality now when using it with my Can Am Spyder. Would have given this app 5 stars but I canno...Full ReviewThis app was hit or miss until I found I had an issue with my LG G5 phone. It was not picking up the satellites very well. When I use this app on my wife's phone it works nicely. Happy with this apps functionality now when using it with my Can Am Spyder. Would have given this app 5 stars but I cannot currently hear the apps voice output through my helmet communicator. Might figure that out yet and then update this review. There are free apps for testing the gps functionality of your phone.","en",3,NA
3,"Steve Harding",2020-06-11,4," Would like to see a round route option, but better than some other apps","en",0,NA
4,"Carl Savillo Jr",2020-05-08,1," To use it, you need another $45 app so your vehicle can connect to it. So it's two apps, the maps, and connection app, which means double the money. They don't tell you this up front. What a rip off! Bit the bullet and bought after google maps no longer worked with BRP connect. After using, no chang...Full ReviewTo use it, you need another $45 app so your vehicle can connect to it. So it's two apps, the maps, and connection app, which means double the money. They don't tell you this up front. What a rip off! Bit the bullet and bought after google maps no longer worked with BRP connect. After using, no change in my rating. It still sucks.","en",9,"Dear Carl,

thank you for leaving a review. We're sorry about the experience you had. We'll make sure to change the description in the store listings to include information about Car connectivity.

Best regards,

Luka
Genius Maps support team"
6,"Rc Prod",2020-06-11,4," This app was hit or miss until I found I had an issue with my LG G5 phone. It was not picking up the satellites very well. When I use this app on my wife's phone it works nicely. Happy with this apps functionality now when using it with my Can Am Spyder. Would have given this app 5 stars but I canno...Full ReviewThis app was hit or miss until I found I had an issue with my LG G5 phone. It was not picking up the satellites very well. When I use this app on my wife's phone it works nicely. Happy with this apps functionality now when using it with my Can Am Spyder. Would have given this app 5 stars but I cannot currently hear the apps voice output through my helmet communicator. Might figure that out yet and then update this review. There are free apps for testing the gps functionality of your phone.","en",3,NA
7,"Steve Harding",2020-06-11,4," Would like to see a round route option, but better than some other apps","en",0,NA
8,"Carl Savillo Jr",2020-05-08,1," To use it, you need another $45 app so your vehicle can connect to it. So it's two apps, the maps, and connection app, which means double the money. They don't tell you this up front. What a rip off! Bit the bullet and bought after google maps no longer worked with BRP connect. After using, no chang...Full ReviewTo use it, you need another $45 app so your vehicle can connect to it. So it's two apps, the maps, and connection app, which means double the money. They don't tell you this up front. What a rip off! Bit the bullet and bought after google maps no longer worked with BRP connect. After using, no change in my rating. It still sucks.","en",9,"Dear Carl,

thank you for leaving a review. We're sorry about the experience you had. We'll make sure to change the description in the store listings to include information about Car connectivity.

Best regards,

Luka
Genius Maps support team"
9,"RL Meeseeks",2020-04-18,4," First impressions are good. I like the interface and how the instructions are announced. The only two annoyances are the current road that you're driving on is a very small text at the bottom that is easy to miss, and the TTS needs to be fixed (eg, turn left on ess Main S-T...as opposed to how it's ...Full ReviewFirst impressions are good. I like the interface and how the instructions are announced. The only two annoyances are the current road that you're driving on is a very small text at the bottom that is easy to miss, and the TTS needs to be fixed (eg, turn left on ess Main S-T...as opposed to how it's written: S Main St)","en",2,NA
10,"Kyle Jones",2020-05-08,1," I'm limited in my choices for map apps for BRP connect (wishing now I didnt invest in the skidoo LCD colour screen), so tried this one out. God awful. It was advertised as good for offline, and off roads (to me that means backcountry). It literally looks unloaded, not a single stream, no topographic...Full ReviewI'm limited in my choices for map apps for BRP connect (wishing now I didnt invest in the skidoo LCD colour screen), so tried this one out. God awful. It was advertised as good for offline, and off roads (to me that means backcountry). It literally looks unloaded, not a single stream, no topographic detail. Steer clear Canadians. Stay away from this app and the skidoo LCD screen.","en",1,NA
11,"J E",2020-04-25,1," App crashes phone. Contacted seller for refund. Asked to contact Google for refund but wasn't able to get refund due time constraint. Contacted PayPal and started a resolution case. Apart from not being able to use this and the traffic app on my phone connected to the bike I would rate this app as p...Full ReviewApp crashes phone. Contacted seller for refund. Asked to contact Google for refund but wasn't able to get refund due time constraint. Contacted PayPal and started a resolution case. Apart from not being able to use this and the traffic app on my phone connected to the bike I would rate this app as post poor.","en",0,NA
12,"Dan Diaz",2020-05-26,4," Works great, premium is worth the buy. Lots of settings to customize but once that's done its fantastic. Great for back road travels.","en",0,NA
13,"Guy Chagnon",2020-05-19,3," Downloaded app after trial , seems ok but would not connect to my vehicle , after another cost , I would think that if once downloaded at certain cost would , not like I needed another map app on phone , needed this one for vehicle, little bit of a con as for pricing in my opinion","en",0,NA
14,"Von Staggers",2020-05-15,1," Highly disappointed that I paid almost $50 for this app. The 2x's I simply used it to see road names and my location it failed and just spun. .","en",0,NA
15,"Ivy Poison",2020-02-21,1," 99% of the time fully useless, 1% of the time perfect. REINSTALLING APP AFTER EACH UPDATE HAS BEEN A STANDARD (and downloading all the maps each and every time, plus settings, plus purchased data)","en",9,NA
16,"N. Bret Fischer",2020-03-10,4," very good navigation, active zoom and real time exit images improving. wish there was a work favorite like home. keep at it, enjoying the experience","en",3,NA
17,"Adis Martinez",2020-03-12,1," This app is a pain to get to work!!! 2 days and still no progress.","en",3,NA
18,"Tezza Tucker",2020-04-18,1," £59.98 for Pro version and live traffic.  You have to be kidding me. For something that doesn't even work. Tried to search for places and all I got was a black screen. I could turn my phone onto standby for free and get the same effect. When you are trying to sell something at least make sure it works. Oh and Here navigation is free and fully functional. Please don't rip people off. And especially for maps that was released in 2019. As you may have guessed already, yes I've uninstalled it.","en",0,NA
19,"rJohn Beyerlein",2020-02-05,4," The detail of Genius Maps is great. I like that it offers several route options to choose from which are easy to toggle between. My only complaint I have is the interface between my smartphone and the BPR CONNECT app. Better instructions from Can Am would be appreciated, but that is not the fault of...Full ReviewThe detail of Genius Maps is great. I like that it offers several route options to choose from which are easy to toggle between. My only complaint I have is the interface between my smartphone and the BPR CONNECT app. Better instructions from Can Am would be appreciated, but that is not the fault of Genius Maps. Kudos for great gps software at a very reasonable price.","en",4,NA
20,"David Nicoll",2019-03-24,2," Unfortunately this app will only work for less than an hour and then I get the ""this app is no longer working"" message. When it works it is great, just don't know why it keeps stopping. It has caused my phone to overheat more than once, a Samsung note 8. I use this app on BRP Connect on my Spyder. W...Full ReviewUnfortunately this app will only work for less than an hour and then I get the ""this app is no longer working"" message. When it works it is great, just don't know why it keeps stopping. It has caused my phone to overheat more than once, a Samsung note 8. I use this app on BRP Connect on my Spyder. Where can you get help with this?","en",0,"Dear David,

thank you for leaving a review. Please contact us at support@mireo.hr so we can look into the problem with more detail.

Best regards,

Luka
Genius Maps support team"
21,"Bryan Earl",2019-06-28,5," This app was not cheap. But it integrates well with Land Rover vehicles when you purchase that option which I cannot do with either Maps or Waze. I purchased the entire suite including traffic and that has helped me out twice here in Chicago rush hour in my 4 months so far of having the app. And onl...Full ReviewThis app was not cheap. But it integrates well with Land Rover vehicles when you purchase that option which I cannot do with either Maps or Waze. I purchased the entire suite including traffic and that has helped me out twice here in Chicago rush hour in my 4 months so far of having the app. And only once has it led me through city streets for no apparent reason. Next time it will be an email to the developers if it happens again. I don't regret purchasing the app. it was worth it.","en",0,"Dear Earl,

thank you very much for the excellent review and kind words! We're glad you've utilized our app numerous times. Please do let us know if the wrong routing happens again.

Best regards,

Luka
Genius Maps support team"
22,"Ron Schunk",2019-06-27,1," Have some problems...app comes up fine, EXCEPT when I try to access it via the BRP connect feature on my 2018 Can Am motorcycle, which is the reason I downloaded it..it keeps giving me a screen that say to configure the app. Have done everything I can to make it work, it won't....I checked the websi...Full ReviewHave some problems...app comes up fine, EXCEPT when I try to access it via the BRP connect feature on my 2018 Can Am motorcycle, which is the reason I downloaded it..it keeps giving me a screen that say to configure the app. Have done everything I can to make it work, it won't....I checked the website and it says I have it installed and my account was billed 44,95.  Samsung Galaxy S4 Any help???","en",7,"Dear Ron,

thank you for leaving a review. To be able to use the app in your Spyder, you need to have purchased both Pro Guidance and Vehicle Connectivity. The app won't function inside any vehicle without both of those packages.

Best regards,

Luka
Genius Maps support team"
23,"A Google user",2019-01-27,1," This application is not stable. it stops randomly while you're traveling. In order to restart, I have to pull off the road, turn the bike off, open the front trunk and restart. I hate it! Now the 2018 Spyder wont recognize my purchased maps. yes, I have restored purchases and it shows purchased on t...Full ReviewThis application is not stable. it stops randomly while you're traveling. In order to restart, I have to pull off the road, turn the bike off, open the front trunk and restart. I hate it! Now the 2018 Spyder wont recognize my purchased maps. yes, I have restored purchases and it shows purchased on the app. Needs a lot of work!!!","en",4,"Dear Sir/Madam,

thank you for contacting us and for using Genius Maps.

We've replied to the e-mail you sent us regarding this issue. Let us know if we can be of more assistance.

Best regards,

Luka
Genius Maps support team"
24,"Gary Spaay",2019-06-11,1," Do not buy this app. The description is deceptive and the app developers admit that it only works with very few car infotainment systems. I need to resubmit my review. It is not the fault of the app developers the BRP gave misleading information. The app itself is very good and functions well.","en",3,"Dear Gary,

thank you for updating your review. We're glad your opinion of our app has improved and we still invite you to possibly use the app on your phone.

Best regards,

Luka
Genius Maps support team"
25,"Richard Stangroom",2019-08-22,3," Navigation is ok, the voice instructions are particularly clear and helpful, but the interface is not ideal, the information boxes are too large for my liking, and cannot be resized, can only be on or off. When I have updated the app resets to defaults (kilometres, 12 hour clock, avoidances, notific...Full ReviewNavigation is ok, the voice instructions are particularly clear and helpful, but the interface is not ideal, the information boxes are too large for my liking, and cannot be resized, can only be on or off. When I have updated the app resets to defaults (kilometres, 12 hour clock, avoidances, notifications, voice, etc) so I have to go through them all and reset to my preferences.","en",9,NA
26,"Daniel P Tolman",2018-09-23,1," Im not paying for this when Google maps are free and a whole lot quicker, that is for sure. I love my Spyder, but I hope BRP EITHER pays someone or someone builds a site that is useable and simple and free of costly maps and directions . Most people already have GPS, and now how to use them. Please ...Full ReviewIm not paying for this when Google maps are free and a whole lot quicker, that is for sure. I love my Spyder, but I hope BRP EITHER pays someone or someone builds a site that is useable and simple and free of costly maps and directions . Most people already have GPS, and now how to use them. Please keep building the Spyders snd other vehicles. Thank you for building such fine vehicles for the whole world to use and enjoy D.P.TOLMAN","en",0,NA
