"rbr","name","date","stars","review","lang","thumb","reply"
13,"Berraco Deguacas",2020-06-10,5," Per your instructions, WHITELISTED it on Droid optimizer and the MAPS DO NOT disappear any more. THANK YOU, THANK YOU, THANK YOU, for a great app & an OUT-OF-THIS-WORLD technical support!!! (would've given it 10, count them, TEN stars, if I could!)","en",22,NA
15,"Radnor Zavoisse",2020-06-15,3," This app feels incomplete.Instead of downloading the whole country map you could give option to download a small subsection of district,state packet.With the low res,blurry icons and lack of thoughful design this app screams amateurish effort.Don't care what you've achieved or will achieve.","en",13,NA
21,"Susan Lai",2020-06-13,3," Helpful in areas with poor or nonexistent internet signal but directions are occasionally off, like sending me to a dead end road that doesn't actually connect with the street I'm looking for.","en",3,NA
22,"Marko Aksic",2020-06-13,1," Had problems with finding GPS, couldn't use it at all, tried 15 mins to find signal rhen i gave up.","en",2,NA
27,"A Google User",2020-06-12,3," Can NOT use the addresses saved in your phone contacts. I like everything else but that.","en",3,NA
29,"Jack Forscher",2020-06-12,5," Is working perfectly offline, and online. It does what I want! Thanks.","en",4,NA
30,"George Bishop",2020-06-10,5," Great maps, up to date ; bit flakey sometimes finding locations in industrial areas otherwise OK","en",0,NA
47,"Whizzed Net",2020-06-15,1," It became Worst now. Auto deleting my downloaded maps everytime from my Samsung M30s Android 10 smartphone.","en",0,NA
48,"m guy",2020-06-13,1," I do not have an internet signal so will not work and How is ""location services MUST be on"" going to help me when I'm in Norwich and just want to see where Bromley is LOL or just do a pre holiday check to see how far it is from Glasgow to Wick???","en",0,NA
51,"Ricardo V",2020-06-11,4," Great nav app. Would be great if you could add multiple way points.","en",0,NA
54,"Graham Fowler",2020-06-09,5," Great speed warning feature. Simple directions.","en",1,NA
67,"Ian McDonald",2020-06-11,4," I have used this app in Australia and North America and found it to be a reliable and valuable tool.","en",0,NA
68,"Nisha Hosain",2020-06-14,5," Works really well without data!!! I simply love it!!","en",0,NA
142,"halil sabanovic",2020-06-14,5," Free but great :-)","en",0,NA
143,"mazwa2007",2020-06-14,5," Fantastic app. Cannot ask for better","en",0,NA
151,"Rabwah Areeej",2020-06-11,5," Is very good application and easy to use","en",0,NA
170,"Ian Templeton",2020-06-14,5," One of the best mapping apps available","en",0,NA
201,"Bharat Bhushan",2020-06-10,4," How to sync with galaxy watch.","en",0,NA
215,"balkan master",2020-06-09,1," can't add several stop points","en",0,NA
238,"Andrew L'Huillier",2020-06-13,3," Out of date style. Biggest problem is directions - paths picked are consistently a good 20% longer than Google maps. They need to seriously improve rout selection.","en",0,NA
276,"john kelly",2020-06-12,5," Great app, and very precise speech and directions. As good if not better than Google maps","en",0,NA
289,"Para Bina",2020-06-12,5," most reliable offline app. Sometimes gps lost if not updated. Reinstall is safer than updating.","en",1,NA
389,"ZH Z",2020-06-09,1," They detect my china sim card and not allow me to use their maps, brilliant!","en",0,NA
441,"Asif Messiah",2020-06-13,2," In Maps shops & many more popular palace are not accurate location !!","en",0,NA
665,"Dario La Magna",2020-06-13,3," Nice but the graphics are too serious!!","en",0,NA
675,"Arsh Cheema",2020-06-14,4," Can you make here lite with low MB maps","en",0,NA
1221,"Kiril Stepanenko",2020-06-09,5," Best gps app, end of discussion.","en",0,NA
1607,"Marc Anderson",2020-06-11,3," Could you please add wheelchair as a means of getting from A to B , thank you","en",0,NA
1873,"Quanty Quanty",2020-06-12,5," Very useful for a tourist like me","en",0,NA
2169,"Dee Dee",2020-06-10,5," Better then Google maps","en",0,NA
2283,"Mohd Ruzaini Md Yasin",2020-06-14,5," Bettet than waze","en",0,NA
3066,"Ne Vernetzt",2020-06-15,1," Totaly bad app compared to any other. Only thing better than in some others is the design. You can't even plan a route from another starting point as your current location.","en",3,NA
3080,"Kharga Bahadur Rai",2020-06-11,5," Works good","en",0,NA
3091,"adrian t",2020-06-10,4," It would be nice to have the map scale displayed so you can approximate the distance from one point to another. Thank you It would be very nice to have the map scale.","en",1,NA
3092,"A Google user",2020-06-12,3," almost good. just left land guidance feature. any plan for this addon?","en",4,NA
3093,"Misha Nay",2020-06-11,1," Last update of 5mb doesn't want be installed?!!","en",1,NA
1,"N Mac",2020-06-07,4," Takes some getting used to. Little guidance for finding & using good features, so play with it before needing to use. Swipe L or R on the Start panel changes the routes. Swipe start panel up to change display options and to recall recently entered routes. I prefered the UK voice with street names, u...Full ReviewTakes some getting used to. Little guidance for finding & using good features, so play with it before needing to use. Swipe L or R on the Start panel changes the routes. Swipe start panel up to change display options and to recall recently entered routes. I prefered the UK voice with street names, until she adopted a U.S. accent instead. What happened with that? Just updated it.. but still has the ""UK"" lady's voice who has obviously lived most of her life in the USA.","en",65,NA
2,"Math Sv",2020-05-24,5," Best car navigation for drivers. It has some traffic info. Simple interface and not so many options to customize or broke the app. It just works and thats ok. Maybe devs can add some ""testing"" ot ""labs"" tab for testing features? Other than that it is an awesome navigation app! Keep up the good work ...Full ReviewBest car navigation for drivers. It has some traffic info. Simple interface and not so many options to customize or broke the app. It just works and thats ok. Maybe devs can add some ""testing"" ot ""labs"" tab for testing features? Other than that it is an awesome navigation app! Keep up the good work devs!","en",28,NA
3,"Maria Manolesaki",2020-06-04,2," The app was referred by a friend using it at work, so I thought I'd give it a go. Installation was fast and didn't take up much space, however, from a functional point of view, it didn't quite match what I had in mind. Yes, the street numbers are marked along the whole length of a road and the stree...Full ReviewThe app was referred by a friend using it at work, so I thought I'd give it a go. Installation was fast and didn't take up much space, however, from a functional point of view, it didn't quite match what I had in mind. Yes, the street numbers are marked along the whole length of a road and the street names are brought closer to the junctions, which might come in handy for delivery service (friend's work) BUT it failed to find my location multiple times or located me as several blocks away.","en",9,NA
4,"Chris Lavender",2020-06-04,2," This app looks the part - clean interface and simple to use. Driving mode seems clear and usable BUT It's navigation is very very poor for walking and cycling, as its not able to use pathways and ONLY roads. Car navigation is fine, although very over simplified and ends up using busier roads as a re...Full ReviewThis app looks the part - clean interface and simple to use. Driving mode seems clear and usable BUT It's navigation is very very poor for walking and cycling, as its not able to use pathways and ONLY roads. Car navigation is fine, although very over simplified and ends up using busier roads as a result.","en",3,NA
