"rbr","name","date","stars","review","lang","thumb","reply"
1,"Martin Gray",2020-06-10,5," Move over Waze, there's a better app out there! The maps are more accurate, the destinations are more precise - even without using the What3words feature - and the routing is often more logical. The ability to recalculate routes offline is a huge bonus, especially in the signal-free highlands of Sco...Full ReviewMove over Waze, there's a better app out there! The maps are more accurate, the destinations are more precise - even without using the What3words feature - and the routing is often more logical. The ability to recalculate routes offline is a huge bonus, especially in the signal-free highlands of Scotland, although it does of course there's a trade-off with timeliness of traffic information. The £1.50 to remove the slightly annoying adverts is well worth it. Now all I have to do is work out how to get it to work nicely with Android Auto to get it onto the car dashboard.","en",0,NA
2,"Iain McFadyen",2020-04-07,1," Used to be OK but now I am unable do a poi ( fuel, restaurant etc) search in my area ( France ), think there is a conflict between the poi and map file ? Cleared all caches, reinstalled app several times on both my phones and S2 tablet, made sure everything was clean for a fresh installs, but nothin...Full ReviewUsed to be OK but now I am unable do a poi ( fuel, restaurant etc) search in my area ( France ), think there is a conflict between the poi and map file ? Cleared all caches, reinstalled app several times on both my phones and S2 tablet, made sure everything was clean for a fresh installs, but nothing. Contacted Navmii with 2 e-mails but no reply ? Well several weeks later and still no reply. Update done today 7/4 /20 but still not working on any of my devices. Poor.","en",5,NA
3,"Roeland Van de Mosselaer",2020-05-02,1," When trying to install Benelux, I get ""We are sorry, server is temporarily unavailable.Please try later."" Installing all other european countries seems to be no problem... I live in Belgium; so, this really puts the rating down...","en",6,NA
4,"craig topperwien",2020-04-27,3," The navigation is excellent but is let down by the terrible search function. Searching for addresses of businesses is painful.","en",1,NA
5,"Martin Gray",2020-06-10,5," Move over Waze, there's a better app out there! The maps are more accurate, the destinations are more precise - even without using the What3words feature - and the routing is often more logical. The ability to recalculate routes offline is a huge bonus, especially in the signal-free highlands of Sco...Full ReviewMove over Waze, there's a better app out there! The maps are more accurate, the destinations are more precise - even without using the What3words feature - and the routing is often more logical. The ability to recalculate routes offline is a huge bonus, especially in the signal-free highlands of Scotland, although it does of course there's a trade-off with timeliness of traffic information. The £1.50 to remove the slightly annoying adverts is well worth it. Now all I have to do is work out how to get it to work nicely with Android Auto to get it onto the car dashboard.","en",0,NA
6,"Iain McFadyen",2020-04-07,1," Used to be OK but now I am unable do a poi ( fuel, restaurant etc) search in my area ( France ), think there is a conflict between the poi and map file ? Cleared all caches, reinstalled app several times on both my phones and S2 tablet, made sure everything was clean for a fresh installs, but nothin...Full ReviewUsed to be OK but now I am unable do a poi ( fuel, restaurant etc) search in my area ( France ), think there is a conflict between the poi and map file ? Cleared all caches, reinstalled app several times on both my phones and S2 tablet, made sure everything was clean for a fresh installs, but nothing. Contacted Navmii with 2 e-mails but no reply ? Well several weeks later and still no reply. Update done today 7/4 /20 but still not working on any of my devices. Poor.","en",5,NA
7,"Roeland Van de Mosselaer",2020-05-02,1," When trying to install Benelux, I get ""We are sorry, server is temporarily unavailable.Please try later."" Installing all other european countries seems to be no problem... I live in Belgium; so, this really puts the rating down...","en",6,NA
8,"craig topperwien",2020-04-27,3," The navigation is excellent but is let down by the terrible search function. Searching for addresses of businesses is painful.","en",1,NA
9,"Craig Blakey",2020-03-17,3," Why is Gps not working? I have used this app for 5 years and it is/was fantastic, but after the latest update GPS no longer works to plot my route meaning I have to use my data. The whole point of this app is to avoid data usage so why has it changed?","en",7,NA
10,"staffs steve",2020-06-07,3," Good gps once its running, but searching for addresses by post code is very hit and miss","en",0,NA
