"rbr","name","date","stars","review","lang","thumb","reply"
3,"Khurram Ellahi",2020-06-10,5," Would be great to have electric charging point added to the map. So drivers can know where to charge. Please bring an option on the tomtom app where we can can change the speed limit when the app is showing it wrong. I seen loads of road in London that your tomtom app still saying 30mph when it shou...Full ReviewWould be great to have electric charging point added to the map. So drivers can know where to charge. Please bring an option on the tomtom app where we can can change the speed limit when the app is showing it wrong. I seen loads of road in London that your tomtom app still saying 30mph when it should be 20mph","en",16,"Hi there Khurram! It is possible to get EV Charging Points available as POIs on the map. Simply search for 'EV Charging' or 'Electric Vehicle Charging' and you will be shown the points on the map. I hope this helps! Thanks for your suggestion to submit map changes in the app itself. We've fed this back! ^Conor, TomTom"
4,"Dave Roach",2020-06-09,3," Been using a number of years now and was always happy with the app but I object to now having auto renew being used instead of the one year straight charge while I know I can go into Google pay to switch it off I should not have to so now unlikely to renew and go back to using my other app that I pa...Full ReviewBeen using a number of years now and was always happy with the app but I object to now having auto renew being used instead of the one year straight charge while I know I can go into Google pay to switch it off I should not have to so now unlikely to renew and go back to using my other app that I paid for lifetime use","en",11,"Hi Dave, thanks for your review and for letting us know your feedback. The app is subscription based rather than a one-off cost. ^Conor, TomTom"
7,"Khurram Ellahi",2020-06-10,5," Would be great to have electric charging point added to the map. So drivers can know where to charge. Please bring an option on the tomtom app where we can can change the speed limit when the app is showing it wrong. I seen loads of road in London that your tomtom app still saying 30mph when it shou...Full ReviewWould be great to have electric charging point added to the map. So drivers can know where to charge. Please bring an option on the tomtom app where we can can change the speed limit when the app is showing it wrong. I seen loads of road in London that your tomtom app still saying 30mph when it should be 20mph","en",16,"Hi there Khurram! It is possible to get EV Charging Points available as POIs on the map. Simply search for 'EV Charging' or 'Electric Vehicle Charging' and you will be shown the points on the map. I hope this helps! Thanks for your suggestion to submit map changes in the app itself. We've fed this back! ^Conor, TomTom"
8,"Dave Roach",2020-06-09,3," Been using a number of years now and was always happy with the app but I object to now having auto renew being used instead of the one year straight charge while I know I can go into Google pay to switch it off I should not have to so now unlikely to renew and go back to using my other app that I pa...Full ReviewBeen using a number of years now and was always happy with the app but I object to now having auto renew being used instead of the one year straight charge while I know I can go into Google pay to switch it off I should not have to so now unlikely to renew and go back to using my other app that I paid for lifetime use","en",11,"Hi Dave, thanks for your review and for letting us know your feedback. The app is subscription based rather than a one-off cost. ^Conor, TomTom"
9,"Michael Chapman",2020-06-13,3," Over the last few weeks of using tomtom when ever a route is selected about 5 miles in. tomtom crashes and will not restart.... This is a major issues. Trying a reinstall to see if this corrects the issue!","en",3,"Hi Michael - sorry to hear about the frustration you've had. So that we can look into the stuttering issue, please let us know the language the phone is in, the route where stuttering is observed as well as the map regions installed to your phone. This will really help us in finding out what's going on! ^Conor, TomTom"
10,"István Varga",2020-06-09,1," Since upgrade it is very slow, takes much more place on my phone, can not search for contact and most importantly navigates me to street away from real destination. (UK) I was using TomTom for many years ( and paying for it), but now I am using to Google map.","en",10,"Hi István, thanks for your review and feedback. Really sorry to hear about you being routed to an incorrect address. Can you please let us know where this happened and where you were trying to navigate to? This will allow us to investigate further! Many thanks, ^Conor, TomTom"
11,"Matt Harrison",2020-06-15,2," Used this satnav for years with no problems. Since the recent update, it cannot find routes (that other apps can) and I type in postcodes and it says ""no results"" waste of space now, hope they fix it shortly.","en",6,"Hi Matt - It sounds like not all necessary zones are installed to phone. The app update features a different type of mapping where zones need to be installed separately. Please install all zones for your country by going to Main Menu - Maps - Add. This should then allow you to search and navigate to the destinations ^Conor, TomTom"
13,"Habun",2020-06-04,5," One of the best Navi apps for motorcycles. It allows you creating a route specifically fun for riding - with a lot of corners and twisty roads. TomTom is the only app with this feature, I know of","en",10,"Dear Habun - We're so happy to hear that you have been having a 5-star experience. Thanks for taking the time to leave this review! We hope you continue to enjoy using the app. If you have any questions about using it, don't hesitate in letting us know. Cheers, and happy motoring! • TomTom Team"
15,"Travel Hunter",2020-06-05,1," Installed to try it out. First screen opens after installing says searching and retreating data and got stuck.. It also downloaded something after installing without a prompt. Getting rid of it","en",10,"Hi there, the app may take a few minutes to get ready for the first time. The download you experienced may have been a map download - the app is for offline navigation, so a map needs to be installed to the phone. ^Conor, TomTom"
16,"Toby Cooper",2020-05-30,1," I have used tomtom devices in cars in the past and got used to the menu styles...bot compared to other android applications for phones, tomtom seems clunky, not intuitive and so frustrating to use. On top of this since May update the button to save a current route to my routes has disappeared. I'm n...Full ReviewI have used tomtom devices in cars in the past and got used to the menu styles...bot compared to other android applications for phones, tomtom seems clunky, not intuitive and so frustrating to use. On top of this since May update the button to save a current route to my routes has disappeared. I'm not prepared to renew a subscription for a product which you are unable to test adequately and break via updates.","en",10,"Hi Toby, really sorry to hear you've been left feeling a bit disappointed with the app. We've fed back your concerns to the development team and appreciate the input. ^Conor, TomTom"
