"day_cut","stars","year","day","app"
2016-06-16,5,2016,16,"1"
2016-06-17,3,2016,17,"1"
2016-06-21,4,2016,21,"1"
2016-06-28,5,2016,28,"1"
2016-07-01,2,2016,1,"1"
2016-07-02,5,2016,2,"1"
2016-07-04,1,2016,4,"1"
2016-07-05,4,2016,5,"1"
2016-07-15,1,2016,15,"1"
2016-07-27,5,2016,27,"1"
2016-08-08,3,2016,8,"1"
2016-08-12,2.5,2016,12,"1"
2016-08-16,4,2016,16,"1"
2016-08-17,1,2016,17,"1"
2016-08-30,4,2016,30,"1"
2016-09-03,5,2016,3,"1"
2016-09-07,5,2016,7,"1"
2016-09-12,1,2016,12,"1"
2016-09-13,5,2016,13,"1"
2016-10-03,2.5,2016,3,"1"
2016-10-11,1,2016,11,"1"
2016-10-17,5,2016,17,"1"
2016-10-28,5,2016,28,"1"
2016-11-02,5,2016,2,"1"
2016-11-05,1,2016,5,"1"
2016-11-13,3,2016,13,"1"
2016-11-15,5,2016,15,"1"
2016-11-20,5,2016,20,"1"
2016-12-19,5,2016,19,"1"
2016-12-22,3,2016,22,"1"
2016-12-26,3.5,2016,26,"1"
2016-12-27,4,2016,27,"1"
2016-12-29,1,2016,29,"1"
2016-12-31,3,2016,31,"1"
2017-01-01,4,2017,1,"1"
2017-01-03,4,2017,3,"1"
2017-01-06,5,2017,6,"1"
2017-01-07,4,2017,7,"1"
2017-01-08,3,2017,8,"1"
2017-01-09,5,2017,9,"1"
2017-01-12,5,2017,12,"1"
2017-01-13,5,2017,13,"1"
2017-01-17,5,2017,17,"1"
2017-01-24,5,2017,24,"1"
2017-02-02,5,2017,2,"1"
2017-03-01,5,2017,1,"1"
2017-03-08,5,2017,8,"1"
2017-03-12,2,2017,12,"1"
2017-03-17,3,2017,17,"1"
2017-03-21,4,2017,21,"1"
2017-04-02,2,2017,2,"1"
2017-04-21,5,2017,21,"1"
2017-04-23,4,2017,23,"1"
2017-05-01,5,2017,1,"1"
2017-05-03,3,2017,3,"1"
2017-05-07,2.5,2017,7,"1"
2017-05-12,5,2017,12,"1"
2017-05-13,5,2017,13,"1"
2017-05-17,5,2017,17,"1"
2017-06-01,5,2017,1,"1"
2017-06-13,4,2017,13,"1"
2017-07-11,5,2017,11,"1"
2017-07-12,5,2017,12,"1"
2017-07-22,1,2017,22,"1"
2017-07-26,2,2017,26,"1"
2017-07-28,2,2017,28,"1"
2017-08-12,4,2017,12,"1"
2017-08-18,1,2017,18,"1"
2017-08-22,3,2017,22,"1"
2017-08-26,5,2017,26,"1"
2017-09-12,1,2017,12,"1"
2017-09-24,1,2017,24,"1"
2017-09-27,1,2017,27,"1"
2017-10-20,5,2017,20,"1"
2017-10-30,4,2017,30,"1"
2017-11-04,2,2017,4,"1"
2017-11-12,1,2017,12,"1"
2017-11-18,5,2017,18,"1"
2017-11-24,4,2017,24,"1"
2017-11-29,5,2017,29,"1"
2017-12-02,5,2017,2,"1"
2017-12-07,2,2017,7,"1"
2017-12-21,1,2017,21,"1"
2017-12-28,5,2017,28,"1"
2018-01-03,5,2018,3,"1"
2018-01-09,5,2018,9,"1"
2018-01-13,5,2018,13,"1"
2018-01-27,1,2018,27,"1"
2018-02-20,4,2018,20,"1"
2018-02-21,1,2018,21,"1"
2018-02-25,2,2018,25,"1"
2018-02-28,3,2018,28,"1"
2018-03-02,5,2018,2,"1"
2018-03-16,1,2018,16,"1"
2018-03-20,1,2018,20,"1"
2018-03-23,1,2018,23,"1"
2018-03-30,1,2018,30,"1"
2018-03-31,4,2018,31,"1"
2018-04-01,5,2018,1,"1"
2018-04-13,5,2018,13,"1"
2018-04-14,3.5,2018,14,"1"
2018-04-17,5,2018,17,"1"
2018-04-21,5,2018,21,"1"
2018-04-23,5,2018,23,"1"
2018-04-25,3,2018,25,"1"
2018-04-29,3,2018,29,"1"
2018-04-30,5,2018,30,"1"
2018-05-02,2,2018,2,"1"
2018-05-03,5,2018,3,"1"
2018-05-18,3,2018,18,"1"
2018-06-06,4,2018,6,"1"
2018-06-11,4,2018,11,"1"
2018-06-13,1,2018,13,"1"
2018-06-15,2,2018,15,"1"
2018-06-22,2,2018,22,"1"
2018-07-01,4,2018,1,"1"
2018-07-15,5,2018,15,"1"
2018-07-18,2,2018,18,"1"
2018-07-25,2,2018,25,"1"
2018-08-11,5,2018,11,"1"
2018-08-15,3,2018,15,"1"
2018-08-19,1,2018,19,"1"
2018-08-31,5,2018,31,"1"
2018-09-03,2,2018,3,"1"
2018-09-05,1,2018,5,"1"
2018-09-23,1,2018,23,"1"
2018-10-08,1,2018,8,"1"
2018-10-16,3,2018,16,"1"
2018-10-21,3,2018,21,"1"
2018-10-24,5,2018,24,"1"
2018-10-25,1,2018,25,"1"
2018-10-31,1,2018,31,"1"
2018-11-05,1,2018,5,"1"
2018-11-11,1,2018,11,"1"
2018-11-18,5,2018,18,"1"
2018-11-23,1,2018,23,"1"
2018-11-29,5,2018,29,"1"
2018-12-16,5,2018,16,"1"
2018-12-20,5,2018,20,"1"
2018-12-23,5,2018,23,"1"
2018-12-24,5,2018,24,"1"
2018-12-26,4.5,2018,26,"1"
2018-12-27,5,2018,27,"1"
2018-12-28,3,2018,28,"1"
2018-12-30,5,2018,30,"1"
2019-01-02,1,2019,2,"1"
2019-01-03,5,2019,3,"1"
2019-01-04,5,2019,4,"1"
2019-01-11,5,2019,11,"1"
2019-01-12,5,2019,12,"1"
2019-01-14,1,2019,14,"1"
2019-01-23,5,2019,23,"1"
2019-01-26,2,2019,26,"1"
