"day_cut","Count","year","day","app"
2016-06-16,1,2016,16,"1"
2016-06-17,1,2016,17,"1"
2016-06-18,0,2016,18,"1"
2016-06-19,0,2016,19,"1"
2016-06-20,0,2016,20,"1"
2016-06-21,1,2016,21,"1"
2016-06-22,0,2016,22,"1"
2016-06-23,0,2016,23,"1"
2016-06-24,0,2016,24,"1"
2016-06-25,0,2016,25,"1"
2016-06-26,0,2016,26,"1"
2016-06-27,0,2016,27,"1"
2016-06-28,1,2016,28,"1"
2016-06-29,0,2016,29,"1"
2016-06-30,0,2016,30,"1"
2016-07-01,1,2016,1,"1"
2016-07-02,1,2016,2,"1"
2016-07-03,0,2016,3,"1"
2016-07-04,1,2016,4,"1"
2016-07-05,1,2016,5,"1"
2016-07-06,0,2016,6,"1"
2016-07-07,0,2016,7,"1"
2016-07-08,0,2016,8,"1"
2016-07-09,0,2016,9,"1"
2016-07-10,0,2016,10,"1"
2016-07-11,0,2016,11,"1"
2016-07-12,0,2016,12,"1"
2016-07-13,0,2016,13,"1"
2016-07-14,0,2016,14,"1"
2016-07-15,1,2016,15,"1"
2016-07-16,0,2016,16,"1"
2016-07-17,0,2016,17,"1"
2016-07-18,0,2016,18,"1"
2016-07-19,0,2016,19,"1"
2016-07-20,0,2016,20,"1"
2016-07-21,0,2016,21,"1"
2016-07-22,0,2016,22,"1"
2016-07-23,0,2016,23,"1"
2016-07-24,0,2016,24,"1"
2016-07-25,0,2016,25,"1"
2016-07-26,0,2016,26,"1"
2016-07-27,1,2016,27,"1"
2016-07-28,0,2016,28,"1"
2016-07-29,0,2016,29,"1"
2016-07-30,0,2016,30,"1"
2016-07-31,0,2016,31,"1"
2016-08-01,0,2016,1,"1"
2016-08-02,0,2016,2,"1"
2016-08-03,0,2016,3,"1"
2016-08-04,0,2016,4,"1"
2016-08-05,0,2016,5,"1"
2016-08-06,0,2016,6,"1"
2016-08-07,0,2016,7,"1"
2016-08-08,1,2016,8,"1"
2016-08-09,0,2016,9,"1"
2016-08-10,0,2016,10,"1"
2016-08-11,0,2016,11,"1"
2016-08-12,2,2016,12,"1"
2016-08-13,0,2016,13,"1"
2016-08-14,0,2016,14,"1"
2016-08-15,0,2016,15,"1"
2016-08-16,1,2016,16,"1"
2016-08-17,1,2016,17,"1"
2016-08-18,0,2016,18,"1"
2016-08-19,0,2016,19,"1"
2016-08-20,0,2016,20,"1"
2016-08-21,0,2016,21,"1"
2016-08-22,0,2016,22,"1"
2016-08-23,0,2016,23,"1"
2016-08-24,0,2016,24,"1"
2016-08-25,0,2016,25,"1"
2016-08-26,0,2016,26,"1"
2016-08-27,0,2016,27,"1"
2016-08-28,0,2016,28,"1"
2016-08-29,0,2016,29,"1"
2016-08-30,1,2016,30,"1"
2016-08-31,0,2016,31,"1"
2016-09-01,0,2016,1,"1"
2016-09-02,0,2016,2,"1"
2016-09-03,1,2016,3,"1"
2016-09-04,0,2016,4,"1"
2016-09-05,0,2016,5,"1"
2016-09-06,0,2016,6,"1"
2016-09-07,1,2016,7,"1"
2016-09-08,0,2016,8,"1"
2016-09-09,0,2016,9,"1"
2016-09-10,0,2016,10,"1"
2016-09-11,0,2016,11,"1"
2016-09-12,1,2016,12,"1"
