"day_cut","sentiment","year","day","app"
2016-06-16,0.07,2016,16,"1"
2016-06-17,-0.01,2016,17,"1"
2016-06-21,1,2016,21,"1"
2016-06-28,0.27,2016,28,"1"
2016-07-01,0.51,2016,1,"1"
2016-07-02,0.45,2016,2,"1"
2016-07-04,-0.22,2016,4,"1"
2016-07-05,0.13,2016,5,"1"
2016-07-15,0,2016,15,"1"
2016-07-27,0.42,2016,27,"1"
2016-08-08,-0.13,2016,8,"1"
2016-08-12,-0.12,2016,12,"1"
2016-08-16,0.53,2016,16,"1"
2016-08-17,-0.16,2016,17,"1"
2016-08-30,0.55,2016,30,"1"
2016-09-03,0.21,2016,3,"1"
2016-09-07,0.35,2016,7,"1"
2016-09-12,-0.78,2016,12,"1"
2016-09-13,1,2016,13,"1"
2016-10-03,0.07,2016,3,"1"
2016-10-11,-0.03,2016,11,"1"
2016-10-17,0.36,2016,17,"1"
2016-10-28,0.85,2016,28,"1"
2016-11-02,-0.13,2016,2,"1"
2016-11-05,-0.18,2016,5,"1"
2016-11-13,0.43,2016,13,"1"
2016-11-15,0.5,2016,15,"1"
2016-11-20,0.75,2016,20,"1"
2016-12-19,0.28,2016,19,"1"
2016-12-22,0.02,2016,22,"1"
2016-12-26,0.34,2016,26,"1"
2016-12-27,0.61,2016,27,"1"
2016-12-29,-0.18,2016,29,"1"
2016-12-31,0.21,2016,31,"1"
2017-01-01,0.32,2017,1,"1"
2017-01-03,0.12,2017,3,"1"
2017-01-06,0.35,2017,6,"1"
2017-01-07,0.5,2017,7,"1"
2017-01-08,0.16,2017,8,"1"
2017-01-09,1,2017,9,"1"
2017-01-12,0.35,2017,12,"1"
2017-01-13,0.24,2017,13,"1"
2017-01-17,1,2017,17,"1"
2017-01-24,0.42,2017,24,"1"
2017-02-02,0.35,2017,2,"1"
2017-03-01,0.95,2017,1,"1"
2017-03-08,0,2017,8,"1"
2017-03-12,-0.41,2017,12,"1"
2017-03-17,-0.08,2017,17,"1"
2017-03-21,0.26,2017,21,"1"
2017-04-02,-0.26,2017,2,"1"
2017-04-21,0.54,2017,21,"1"
2017-04-23,0,2017,23,"1"
2017-05-01,0.65,2017,1,"1"
2017-05-03,-0.24,2017,3,"1"
2017-05-07,0.06,2017,7,"1"
2017-05-12,0.41,2017,12,"1"
2017-05-13,-0.57,2017,13,"1"
2017-05-17,0.36,2017,17,"1"
2017-06-01,0.71,2017,1,"1"
2017-06-13,0.58,2017,13,"1"
2017-07-11,0.53,2017,11,"1"
2017-07-12,0.53,2017,12,"1"
2017-07-22,-0.07,2017,22,"1"
2017-07-26,-0.4,2017,26,"1"
2017-07-28,0.11,2017,28,"1"
2017-08-12,0.38,2017,12,"1"
2017-08-18,-0.25,2017,18,"1"
2017-08-22,0.17,2017,22,"1"
2017-08-26,0.75,2017,26,"1"
2017-09-12,-0.24,2017,12,"1"
2017-09-24,-0.12,2017,24,"1"
2017-09-27,-0.42,2017,27,"1"
2017-10-20,0.35,2017,20,"1"
2017-10-30,0.19,2017,30,"1"
2017-11-04,0.06,2017,4,"1"
2017-11-12,-0.53,2017,12,"1"
