"date","count","star","app"
2016-06-16,1,5,"Genius Maps"
2016-06-17,1,3,"Genius Maps"
2016-06-21,1,4,"Genius Maps"
2016-06-28,1,5,"Genius Maps"
2016-07-01,1,2,"Genius Maps"
2016-07-02,1,5,"Genius Maps"
2016-07-04,1,1,"Genius Maps"
2016-07-05,1,4,"Genius Maps"
2016-07-15,1,1,"Genius Maps"
2016-07-27,1,5,"Genius Maps"
2016-08-08,1,3,"Genius Maps"
2016-08-12,2,2.5,"Genius Maps"
2016-08-16,1,4,"Genius Maps"
2016-08-17,1,1,"Genius Maps"
2016-08-30,1,4,"Genius Maps"
2016-09-03,1,5,"Genius Maps"
2016-09-07,1,5,"Genius Maps"
2016-09-12,1,1,"Genius Maps"
2016-09-13,1,5,"Genius Maps"
2016-10-03,2,2.5,"Genius Maps"
2016-10-11,1,1,"Genius Maps"
2016-10-17,1,5,"Genius Maps"
2016-10-28,1,5,"Genius Maps"
2016-11-02,1,5,"Genius Maps"
2016-11-05,1,1,"Genius Maps"
2016-11-13,2,3,"Genius Maps"
2016-11-15,1,5,"Genius Maps"
2016-11-20,1,5,"Genius Maps"
2016-12-19,1,5,"Genius Maps"
2016-12-22,2,3,"Genius Maps"
2016-12-26,2,3.5,"Genius Maps"
2016-12-27,1,4,"Genius Maps"
2016-12-29,1,1,"Genius Maps"
2016-12-31,1,3,"Genius Maps"
2017-01-01,1,4,"Genius Maps"
2017-01-03,1,4,"Genius Maps"
2017-01-06,1,5,"Genius Maps"
2017-01-07,1,4,"Genius Maps"
2017-01-08,2,3,"Genius Maps"
2017-01-09,1,5,"Genius Maps"
2017-01-12,1,5,"Genius Maps"
2017-01-13,1,5,"Genius Maps"
2017-01-17,1,5,"Genius Maps"
2017-01-24,1,5,"Genius Maps"
2017-02-02,1,5,"Genius Maps"
2017-03-01,1,5,"Genius Maps"
2017-03-08,1,5,"Genius Maps"
2017-03-12,1,2,"Genius Maps"
2017-03-17,1,3,"Genius Maps"
2017-03-21,1,4,"Genius Maps"
2017-04-02,1,2,"Genius Maps"
2017-04-21,1,5,"Genius Maps"
2017-04-23,1,4,"Genius Maps"
2017-05-01,1,5,"Genius Maps"
2017-05-03,1,3,"Genius Maps"
2017-05-07,2,2.5,"Genius Maps"
2017-05-12,1,5,"Genius Maps"
2017-05-13,1,5,"Genius Maps"
2017-05-17,1,5,"Genius Maps"
2017-06-01,1,5,"Genius Maps"
2017-06-13,1,4,"Genius Maps"
2017-07-11,1,5,"Genius Maps"
2017-07-12,1,5,"Genius Maps"
2017-07-22,1,1,"Genius Maps"
2017-07-26,1,2,"Genius Maps"
2017-07-28,1,2,"Genius Maps"
2017-08-12,1,4,"Genius Maps"
2017-08-18,1,1,"Genius Maps"
2017-08-22,1,3,"Genius Maps"
2017-08-26,1,5,"Genius Maps"
2017-09-12,1,1,"Genius Maps"
2017-09-24,1,1,"Genius Maps"
2017-09-27,1,1,"Genius Maps"
2017-10-20,1,5,"Genius Maps"
2017-10-30,1,4,"Genius Maps"
2017-11-04,1,2,"Genius Maps"
2017-11-12,1,1,"Genius Maps"
2017-11-18,1,5,"Genius Maps"
2017-11-24,1,4,"Genius Maps"
2017-11-29,1,5,"Genius Maps"
2017-12-02,1,5,"Genius Maps"
2017-12-07,1,2,"Genius Maps"
2017-12-21,1,1,"Genius Maps"
2017-12-28,1,5,"Genius Maps"
2018-01-03,1,5,"Genius Maps"
2018-01-09,2,5,"Genius Maps"
2018-01-13,1,5,"Genius Maps"
2018-01-27,1,1,"Genius Maps"
2018-02-20,1,4,"Genius Maps"
2018-02-21,1,1,"Genius Maps"
2018-02-25,1,2,"Genius Maps"
2018-02-28,2,3,"Genius Maps"
2018-03-02,1,5,"Genius Maps"
2018-03-16,1,1,"Genius Maps"
2018-03-20,1,1,"Genius Maps"
2018-03-23,1,1,"Genius Maps"
2018-03-30,1,1,"Genius Maps"
2018-03-31,1,4,"Genius Maps"
2018-04-01,1,5,"Genius Maps"
2018-04-13,1,5,"Genius Maps"
2018-04-14,2,3.5,"Genius Maps"
2018-04-17,1,5,"Genius Maps"
2018-04-21,2,5,"Genius Maps"
2018-04-23,1,5,"Genius Maps"
2018-04-25,1,3,"Genius Maps"
2018-04-29,1,3,"Genius Maps"
2018-04-30,1,5,"Genius Maps"
2018-05-02,1,2,"Genius Maps"
2018-05-03,1,5,"Genius Maps"
2018-05-18,2,3,"Genius Maps"
2018-06-06,1,4,"Genius Maps"
2018-06-11,1,4,"Genius Maps"
2018-06-13,1,1,"Genius Maps"
2018-06-15,2,2,"Genius Maps"
2018-06-22,1,2,"Genius Maps"
2018-07-01,1,4,"Genius Maps"
2018-07-15,1,5,"Genius Maps"
2018-07-18,1,2,"Genius Maps"
2018-07-25,1,2,"Genius Maps"
2018-08-11,1,5,"Genius Maps"
2018-08-15,1,3,"Genius Maps"
2018-08-19,1,1,"Genius Maps"
2018-08-31,1,5,"Genius Maps"
2018-09-03,1,2,"Genius Maps"
2018-09-05,1,1,"Genius Maps"
2018-09-23,1,1,"Genius Maps"
2018-10-08,1,1,"Genius Maps"
2018-10-16,1,3,"Genius Maps"
2018-10-21,1,3,"Genius Maps"
2018-10-24,1,5,"Genius Maps"
2018-10-25,1,1,"Genius Maps"
2018-10-31,1,1,"Genius Maps"
2018-11-05,1,1,"Genius Maps"
2018-11-11,1,1,"Genius Maps"
2018-11-18,1,5,"Genius Maps"
2018-11-23,1,1,"Genius Maps"
2018-11-29,1,5,"Genius Maps"
2018-12-16,1,5,"Genius Maps"
2018-12-20,1,5,"Genius Maps"
2018-12-23,1,5,"Genius Maps"
2018-12-24,1,5,"Genius Maps"
