"month_cut","stars","year","month","app"
2016-06-01,4.25,2016,6,"1"
2016-07-01,3,2016,7,"1"
2016-08-01,2.9,2016,8,"1"
2016-09-01,4,2016,9,"1"
2016-10-01,3.375,2016,10,"1"
2016-11-01,3.8,2016,11,"1"
2016-12-01,3.25,2016,12,"1"
2017-01-01,4.5,2017,1,"1"
2017-02-01,5,2017,2,"1"
2017-03-01,3.8,2017,3,"1"
2017-04-01,3.66666666666667,2017,4,"1"
2017-05-01,4.25,2017,5,"1"
2017-06-01,4.5,2017,6,"1"
2017-07-01,3,2017,7,"1"
2017-08-01,3.25,2017,8,"1"
2017-09-01,1,2017,9,"1"
2017-10-01,4.5,2017,10,"1"
2017-11-01,3.4,2017,11,"1"
2017-12-01,3.25,2017,12,"1"
2018-01-01,4,2018,1,"1"
2018-02-01,2.5,2018,2,"1"
2018-03-01,2.16666666666667,2018,3,"1"
2018-04-01,4.38888888888889,2018,4,"1"
2018-05-01,3.33333333333333,2018,5,"1"
2018-06-01,2.6,2018,6,"1"
2018-07-01,3.25,2018,7,"1"
2018-08-01,3.5,2018,8,"1"
2018-09-01,1.33333333333333,2018,9,"1"
2018-10-01,2.33333333333333,2018,10,"1"
2018-11-01,2.6,2018,11,"1"
2018-12-01,4.6875,2018,12,"1"
2019-01-01,3.33333333333333,2019,1,"1"
2019-02-01,3.33333333333333,2019,2,"1"
2019-03-01,3.66666666666667,2019,3,"1"
2019-04-01,3.25,2019,4,"1"
2019-05-01,4.33333333333333,2019,5,"1"
2019-06-01,3.5,2019,6,"1"
2019-07-01,4.75,2019,7,"1"
2019-08-01,3.45833333333333,2019,8,"1"
2019-09-01,4.16666666666667,2019,9,"1"
2019-10-01,4.5,2019,10,"1"
2019-11-01,3.75,2019,11,"1"
2019-12-01,4.2,2019,12,"1"
2020-01-01,5,2020,1,"1"
2020-02-01,3.125,2020,2,"1"
2020-03-01,3.33333333333333,2020,3,"1"
2020-04-01,2.83333333333333,2020,4,"1"
2020-05-01,2.28571428571429,2020,5,"1"
2020-06-01,4.33333333333333,2020,6,"1"
2016-06-01,3.81837121212121,2016,6,"2"
2016-07-01,3.64403528160644,2016,7,"2"
2016-08-01,3.4800715707387,2016,8,"2"
