"month_cut","Count","year","month","app"
2016-06-01,4,2016,6,"1"
2016-07-01,6,2016,7,"1"
2016-08-01,6,2016,8,"1"
2016-09-01,4,2016,9,"1"
2016-10-01,5,2016,10,"1"
2016-11-01,6,2016,11,"1"
2016-12-01,8,2016,12,"1"
2017-01-01,11,2017,1,"1"
2017-02-01,1,2017,2,"1"
2017-03-01,5,2017,3,"1"
2017-04-01,3,2017,4,"1"
2017-05-01,7,2017,5,"1"
2017-06-01,2,2017,6,"1"
2017-07-01,5,2017,7,"1"
2017-08-01,4,2017,8,"1"
2017-09-01,3,2017,9,"1"
2017-10-01,2,2017,10,"1"
2017-11-01,5,2017,11,"1"
2017-12-01,4,2017,12,"1"
2018-01-01,5,2018,1,"1"
2018-02-01,5,2018,2,"1"
2018-03-01,6,2018,3,"1"
2018-04-01,11,2018,4,"1"
2018-05-01,4,2018,5,"1"
2018-06-01,6,2018,6,"1"
2018-07-01,4,2018,7,"1"
2018-08-01,4,2018,8,"1"
2018-09-01,3,2018,9,"1"
2018-10-01,6,2018,10,"1"
2018-11-01,5,2018,11,"1"
2018-12-01,10,2018,12,"1"
2019-01-01,9,2019,1,"1"
2019-02-01,3,2019,2,"1"
2019-03-01,6,2019,3,"1"
2019-04-01,4,2019,4,"1"
2019-05-01,6,2019,5,"1"
2019-06-01,9,2019,6,"1"
2019-07-01,8,2019,7,"1"
2019-08-01,13,2019,8,"1"
2019-09-01,8,2019,9,"1"
2019-10-01,8,2019,10,"1"
2019-11-01,5,2019,11,"1"
2019-12-01,5,2019,12,"1"
2020-01-01,3,2020,1,"1"
2020-02-01,8,2020,2,"1"
2020-03-01,3,2020,3,"1"
2020-04-01,4,2020,4,"1"
2020-05-01,9,2020,5,"1"
2020-06-01,6,2020,6,"1"
2016-06-01,126,2016,6,"2"
2016-07-01,252,2016,7,"2"
2016-08-01,296,2016,8,"2"
2016-09-01,266,2016,9,"2"
2016-10-01,219,2016,10,"2"
2016-11-01,241,2016,11,"2"
2016-12-01,251,2016,12,"2"
2017-01-01,166,2017,1,"2"
2017-02-01,152,2017,2,"2"
2017-03-01,171,2017,3,"2"
2017-04-01,206,2017,4,"2"
2017-05-01,193,2017,5,"2"
2017-06-01,149,2017,6,"2"
2017-07-01,172,2017,7,"2"
2017-08-01,203,2017,8,"2"
2017-09-01,192,2017,9,"2"
2017-10-01,166,2017,10,"2"
2017-11-01,158,2017,11,"2"
2017-12-01,136,2017,12,"2"
2018-01-01,108,2018,1,"2"
2018-02-01,90,2018,2,"2"
2018-03-01,115,2018,3,"2"
2018-04-01,124,2018,4,"2"
2018-05-01,107,2018,5,"2"
2018-06-01,137,2018,6,"2"
2018-07-01,144,2018,7,"2"
2018-08-01,161,2018,8,"2"
2018-09-01,138,2018,9,"2"
2018-10-01,141,2018,10,"2"
2018-11-01,153,2018,11,"2"
2018-12-01,137,2018,12,"2"
2019-01-01,122,2019,1,"2"
2019-02-01,172,2019,2,"2"
2019-03-01,194,2019,3,"2"
2019-04-01,186,2019,4,"2"
2019-05-01,218,2019,5,"2"
2019-06-01,190,2019,6,"2"
2019-07-01,177,2019,7,"2"
2019-08-01,151,2019,8,"2"
2019-09-01,172,2019,9,"2"
2019-10-01,196,2019,10,"2"
2019-11-01,156,2019,11,"2"
2019-12-01,179,2019,12,"2"
2020-01-01,160,2020,1,"2"
2020-02-01,170,2020,2,"2"
