"month","stars","app"
1,4.07692307692308,"1"
2,3.125,"1"
3,3.2,"1"
4,3.78947368421053,"1"
5,3.52272727272727,"1"
6,3.63636363636364,"1"
7,3.65217391304348,"1"
8,3.32,"1"
9,3,"1"
10,3.57894736842105,"1"
11,3.36842105263158,"1"
12,3.95652173913043,"1"
1,3.54722691490984,"2"
2,3.28812311425948,"2"
3,3.44922160044111,"2"
4,3.55244839701361,"2"
5,3.3171383465875,"2"
6,3.47207251082251,"2"
7,3.45400634091452,"2"
8,3.48194536932989,"2"
9,3.67382076257076,"2"
10,3.64712323947861,"2"
11,3.50739069617746,"2"
12,3.59274643603912,"2"
1,3.56260980734665,"3"
2,3.44796229622962,"3"
3,3.38952664399093,"3"
4,3.47260812581913,"3"
5,3.34924414210129,"3"
6,3.46668956043956,"3"
7,3.60790992633098,"3"
8,3.54882152510358,"3"
9,3.34150870704269,"3"
10,3.72312035448828,"3"
11,3.64143518518519,"3"
12,3.78733333333333,"3"
1,2.91666666666667,"4"
2,3.18803418803419,"4"
3,2.92777777777778,"4"
4,2.76960784313725,"4"
5,3.23141025641026,"4"
6,2.95462962962963,"4"
7,2.69958847736626,"4"
8,2.88111111111111,"4"
9,2.78954802259887,"4"
10,3.19391534391534,"4"
11,3.31737588652482,"4"
12,2.79347826086957,"4"
1,4.29721481507806,"5"
2,4.29510462719075,"5"
3,4.31106142909223,"5"
4,4.26131329279215,"5"
5,4.23717345309145,"5"
6,4.28047233447129,"5"
7,4.35095403997912,"5"
8,4.34542416758625,"5"
9,4.44118195784031,"5"
10,4.3534952920357,"5"
11,4.30545667618602,"5"
12,4.23986562821103,"5"
1,4.48828505856082,"6"
2,4.48784344488519,"6"
3,4.48806882395021,"6"
4,4.44168546502494,"6"
5,4.5114929154851,"6"
6,4.50749361649745,"6"
7,4.444676814829,"6"
8,4.40477856741152,"6"
9,4.47935368502613,"6"
10,4.55631182500628,"6"
11,4.5217858974009,"6"
12,4.44979776149663,"6"
1,3.39265616710007,"7"
2,3.45457089466547,"7"
3,3.52766606088905,"7"
4,3.66705427404576,"7"
5,3.49325798158112,"7"
6,3.3266846970651,"7"
7,3.24589974360214,"7"
8,3.43946138004443,"7"
9,3.44362591610369,"7"
10,3.43090872091746,"7"
11,3.26175628393842,"7"
12,3.32288676103426,"7"
1,3.89417487925172,"8"
2,3.96607302745856,"8"
3,3.95884533843637,"8"
4,3.91929627680866,"8"
5,4.06704164498125,"8"
6,3.99046578646054,"8"
7,3.97748271297048,"8"
8,4.01845552457957,"8"
9,3.96423538048648,"8"
10,3.9751198455671,"8"
11,3.9875517000189,"8"
12,3.96895144853723,"8"
