"month_cut","sentiment","year","month","app"
2016-06-01,0.37,2016,6,"1"
2016-07-01,0.21,2016,7,"1"
2016-08-01,0.13,2016,8,"1"
2016-09-01,0.2,2016,9,"1"
2016-10-01,0.31,2016,10,"1"
2016-11-01,0.27,2016,11,"1"
2016-12-01,0.21,2016,12,"1"
2017-01-01,0.47,2017,1,"1"
2017-02-01,0.35,2017,2,"1"
2017-03-01,0.15,2017,3,"1"
2017-04-01,0.09,2017,4,"1"
2017-05-01,0.11,2017,5,"1"
2017-06-01,0.64,2017,6,"1"
2017-07-01,0.14,2017,7,"1"
2017-08-01,0.26,2017,8,"1"
2017-09-01,-0.26,2017,9,"1"
2017-10-01,0.27,2017,10,"1"
2017-11-01,0,2017,11,"1"
2017-12-01,0.18,2017,12,"1"
2018-01-01,0.24,2018,1,"1"
2018-02-01,0.02,2018,2,"1"
2018-03-01,0.07,2018,3,"1"
2018-04-01,0.15,2018,4,"1"
2018-05-01,0.46,2018,5,"1"
2018-06-01,0,2018,6,"1"
2018-07-01,-0.05,2018,7,"1"
2018-08-01,0.27,2018,8,"1"
2018-09-01,0.29,2018,9,"1"
2018-10-01,0.09,2018,10,"1"
2018-11-01,0.07,2018,11,"1"
2018-12-01,0.49,2018,12,"1"
2019-01-01,0.19,2019,1,"1"
2019-02-01,0.31,2019,2,"1"
2019-03-01,0.43,2019,3,"1"
2019-04-01,0.24,2019,4,"1"
2019-05-01,0.23,2019,5,"1"
2019-06-01,0.29,2019,6,"1"
2019-07-01,0.2,2019,7,"1"
2019-08-01,0.27,2019,8,"1"
2019-09-01,0.15,2019,9,"1"
2019-10-01,0.32,2019,10,"1"
2019-11-01,0.17,2019,11,"1"
2019-12-01,0.26,2019,12,"1"
2020-01-01,0.44,2020,1,"1"
2020-02-01,0.23,2020,2,"1"
2020-03-01,0.47,2020,3,"1"
2020-04-01,0.31,2020,4,"1"
2020-05-01,0.08,2020,5,"1"
2020-06-01,0.16,2020,6,"1"
2016-06-01,0.3,2016,6,"2"
2016-07-01,0.17,2016,7,"2"
2016-08-01,0.23,2016,8,"2"
2016-09-01,0.2,2016,9,"2"
2016-10-01,0.21,2016,10,"2"
2016-11-01,0.21,2016,11,"2"
2016-12-01,0.2,2016,12,"2"
2017-01-01,0.23,2017,1,"2"
2017-02-01,0.11,2017,2,"2"
2017-03-01,0.15,2017,3,"2"
2017-04-01,0.17,2017,4,"2"
2017-05-01,0.16,2017,5,"2"
2017-06-01,0.23,2017,6,"2"
2017-07-01,0.2,2017,7,"2"
2017-08-01,0.21,2017,8,"2"
2017-09-01,0.21,2017,9,"2"
2017-10-01,0.18,2017,10,"2"
2017-11-01,0.16,2017,11,"2"
2017-12-01,0.18,2017,12,"2"
2018-01-01,0.22,2018,1,"2"
2018-02-01,0.21,2018,2,"2"
2018-03-01,0.17,2018,3,"2"
2018-04-01,0.2,2018,4,"2"
2018-05-01,0.19,2018,5,"2"
2018-06-01,0.21,2018,6,"2"
2018-07-01,0.06,2018,7,"2"
2018-08-01,0.12,2018,8,"2"
2018-09-01,0.25,2018,9,"2"
2018-10-01,0.21,2018,10,"2"
2018-11-01,0.18,2018,11,"2"
2018-12-01,0.24,2018,12,"2"
2019-01-01,0.21,2019,1,"2"
2019-02-01,0.23,2019,2,"2"
2019-03-01,0.26,2019,3,"2"
2019-04-01,0.32,2019,4,"2"
2019-05-01,0.19,2019,5,"2"
2019-06-01,0.2,2019,6,"2"
2019-07-01,0.27,2019,7,"2"
2019-08-01,0.32,2019,8,"2"
2019-09-01,0.26,2019,9,"2"
2019-10-01,0.26,2019,10,"2"
2019-11-01,0.22,2019,11,"2"
2019-12-01,0.28,2019,12,"2"
2020-01-01,0.24,2020,1,"2"
2020-02-01,0.18,2020,2,"2"
2020-03-01,0.21,2020,3,"2"
2020-04-01,0.24,2020,4,"2"
2020-05-01,0.2,2020,5,"2"
2020-06-01,0.2,2020,6,"2"
2016-06-01,0.29,2016,6,"3"
2016-07-01,0.23,2016,7,"3"
2016-08-01,0.28,2016,8,"3"
2016-09-01,0.27,2016,9,"3"
2016-10-01,0.22,2016,10,"3"
2016-11-01,0.25,2016,11,"3"
2016-12-01,0.35,2016,12,"3"
2017-01-01,0.25,2017,1,"3"
2017-02-01,0.22,2017,2,"3"
2017-03-01,0.19,2017,3,"3"
2017-04-01,0.22,2017,4,"3"
2017-05-01,0.32,2017,5,"3"
2017-06-01,0.21,2017,6,"3"
2017-07-01,0.21,2017,7,"3"
2017-08-01,0.17,2017,8,"3"
2017-09-01,0.14,2017,9,"3"
2017-10-01,0.24,2017,10,"3"
2017-11-01,0.14,2017,11,"3"
2017-12-01,0.09,2017,12,"3"
2018-01-01,0.21,2018,1,"3"
2018-02-01,0.21,2018,2,"3"
2018-03-01,0.18,2018,3,"3"
2018-04-01,0.19,2018,4,"3"
2018-05-01,0.17,2018,5,"3"
2018-06-01,0.13,2018,6,"3"
2018-07-01,0.19,2018,7,"3"
2018-08-01,0.19,2018,8,"3"
2018-09-01,0.18,2018,9,"3"
2018-10-01,0.21,2018,10,"3"
2018-11-01,0.22,2018,11,"3"
2018-12-01,0.23,2018,12,"3"
2019-01-01,0.13,2019,1,"3"
2019-02-01,0.22,2019,2,"3"
2019-03-01,0.19,2019,3,"3"
2019-04-01,0.17,2019,4,"3"
2019-05-01,0.14,2019,5,"3"
2019-06-01,0.1,2019,6,"3"
2019-07-01,0.17,2019,7,"3"
2019-08-01,0.17,2019,8,"3"
2019-09-01,0.15,2019,9,"3"
2019-10-01,0.25,2019,10,"3"
2019-11-01,0.11,2019,11,"3"
2019-12-01,0.15,2019,12,"3"
2020-01-01,0.23,2020,1,"3"
2020-02-01,0.14,2020,2,"3"
2020-03-01,0.13,2020,3,"3"
2020-04-01,0.22,2020,4,"3"
2020-05-01,0.16,2020,5,"3"
2020-06-01,0.13,2020,6,"3"
2016-06-01,0.15,2016,6,"4"
2016-07-01,0.11,2016,7,"4"
2016-08-01,0.17,2016,8,"4"
2016-09-01,0.15,2016,9,"4"
2016-10-01,0.3,2016,10,"4"
2016-11-01,0.18,2016,11,"4"
2016-12-01,0.1,2016,12,"4"
2017-01-01,0.24,2017,1,"4"
2017-02-01,0.05,2017,2,"4"
2017-03-01,0.33,2017,3,"4"
2017-04-01,0.12,2017,4,"4"
2017-05-01,0.15,2017,5,"4"
2017-06-01,0.01,2017,6,"4"
2017-07-01,0.06,2017,7,"4"
2017-08-01,-0.01,2017,8,"4"
2017-09-01,0.01,2017,9,"4"
2017-10-01,-0.02,2017,10,"4"
2017-11-01,0.02,2017,11,"4"
2017-12-01,0.15,2017,12,"4"
2018-01-01,-0.01,2018,1,"4"
2018-02-01,0.24,2018,2,"4"
2018-03-01,0.06,2018,3,"4"
2018-04-01,0.07,2018,4,"4"
2018-05-01,0.04,2018,5,"4"
2018-06-01,0.17,2018,6,"4"
2018-07-01,-0.03,2018,7,"4"
2018-08-01,0.08,2018,8,"4"
2018-09-01,0.07,2018,9,"4"
2018-10-01,0.22,2018,10,"4"
2018-11-01,0.15,2018,11,"4"
2018-12-01,0.05,2018,12,"4"
2019-01-01,0.06,2019,1,"4"
2019-02-01,0.21,2019,2,"4"
2019-03-01,0.08,2019,3,"4"
2019-04-01,-0.07,2019,4,"4"
2019-05-01,0.17,2019,5,"4"
2019-06-01,0.05,2019,6,"4"
2019-07-01,0.11,2019,7,"4"
2019-08-01,0.13,2019,8,"4"
2019-09-01,0.09,2019,9,"4"
2019-10-01,0.06,2019,10,"4"
2019-11-01,0.27,2019,11,"4"
2019-12-01,-0.08,2019,12,"4"
2020-01-01,0.21,2020,1,"4"
2020-02-01,0.07,2020,2,"4"
2020-03-01,-0.1,2020,3,"4"
2020-04-01,0.1,2020,4,"4"
2020-05-01,0.09,2020,5,"4"
2020-06-01,-0.09,2020,6,"4"
2016-06-01,0.38,2016,6,"5"
2016-07-01,0.38,2016,7,"5"
2016-08-01,0.37,2016,8,"5"
2016-09-01,0.38,2016,9,"5"
2016-10-01,0.38,2016,10,"5"
2016-11-01,0.43,2016,11,"5"
2016-12-01,0.42,2016,12,"5"
2017-01-01,0.36,2017,1,"5"
2017-02-01,0.33,2017,2,"5"
2017-03-01,0.34,2017,3,"5"
2017-04-01,0.32,2017,4,"5"
2017-05-01,0.31,2017,5,"5"
2017-06-01,0.31,2017,6,"5"
2017-07-01,0.34,2017,7,"5"
2017-08-01,0.35,2017,8,"5"
2017-09-01,0.35,2017,9,"5"
2017-10-01,0.36,2017,10,"5"
2017-11-01,0.3,2017,11,"5"
2017-12-01,0.33,2017,12,"5"
2018-01-01,0.32,2018,1,"5"
2018-02-01,0.31,2018,2,"5"
2018-03-01,0.32,2018,3,"5"
2018-04-01,0.33,2018,4,"5"
2018-05-01,0.33,2018,5,"5"
2018-06-01,0.32,2018,6,"5"
2018-07-01,0.33,2018,7,"5"
2018-08-01,0.31,2018,8,"5"
2018-09-01,0.33,2018,9,"5"
2018-10-01,0.31,2018,10,"5"
2018-11-01,0.33,2018,11,"5"
2018-12-01,0.31,2018,12,"5"
2019-01-01,0.32,2019,1,"5"
2019-02-01,0.38,2019,2,"5"
2019-03-01,0.4,2019,3,"5"
2019-04-01,0.36,2019,4,"5"
2019-05-01,0.4,2019,5,"5"
2019-06-01,0.38,2019,6,"5"
2019-07-01,0.36,2019,7,"5"
2019-08-01,0.39,2019,8,"5"
2019-09-01,0.37,2019,9,"5"
2019-10-01,0.37,2019,10,"5"
2019-11-01,0.31,2019,11,"5"
2019-12-01,0.35,2019,12,"5"
2020-01-01,0.34,2020,1,"5"
2020-02-01,0.32,2020,2,"5"
2020-03-01,0.31,2020,3,"5"
2020-04-01,0.3,2020,4,"5"
2020-05-01,0.28,2020,5,"5"
2020-06-01,0.3,2020,6,"5"
2016-06-01,0.4,2016,6,"6"
2016-07-01,0.38,2016,7,"6"
2016-08-01,0.33,2016,8,"6"
2016-09-01,0.4,2016,9,"6"
2016-10-01,0.39,2016,10,"6"
2016-11-01,0.36,2016,11,"6"
2016-12-01,0.41,2016,12,"6"
2017-01-01,0.38,2017,1,"6"
2017-02-01,0.36,2017,2,"6"
2017-03-01,0.34,2017,3,"6"
2017-04-01,0.35,2017,4,"6"
2017-05-01,0.33,2017,5,"6"
