"week_cut","stars","year","week","app"
2016-06-13,4,2016,24,"1"
2016-06-20,4,2016,25,"1"
2016-06-27,4,2016,26,"1"
2016-07-04,2.5,2016,27,"1"
2016-07-11,1,2016,28,"1"
2016-07-25,5,2016,30,"1"
2016-08-08,2.75,2016,32,"1"
2016-08-15,2.5,2016,33,"1"
2016-08-29,4.5,2016,35,"1"
2016-09-05,5,2016,36,"1"
2016-09-12,3,2016,37,"1"
2016-10-03,2.5,2016,40,"1"
2016-10-10,1,2016,41,"1"
2016-10-17,5,2016,42,"1"
2016-10-24,5,2016,43,"1"
2016-10-31,3,2016,44,"1"
2016-11-07,3,2016,45,"1"
2016-11-14,5,2016,46,"1"
2016-12-19,4,2016,51,"1"
2016-12-26,3.1,2016,52,"1"
2017-01-02,4,2017,1,"1"
2017-01-09,5,2017,2,"1"
2017-01-16,5,2017,3,"1"
2017-01-23,5,2017,4,"1"
2017-01-30,5,2017,5,"1"
2017-02-27,5,2017,9,"1"
2017-03-06,3.5,2017,10,"1"
2017-03-13,3,2017,11,"1"
2017-03-20,4,2017,12,"1"
2017-03-27,2,2017,13,"1"
2017-04-17,4.5,2017,16,"1"
2017-05-01,3.5,2017,18,"1"
2017-05-08,5,2017,19,"1"
2017-05-15,5,2017,20,"1"
2017-05-29,5,2017,22,"1"
2017-06-12,4,2017,24,"1"
2017-07-10,5,2017,28,"1"
2017-07-17,1,2017,29,"1"
2017-07-24,2,2017,30,"1"
2017-08-07,4,2017,32,"1"
2017-08-14,1,2017,33,"1"
2017-08-21,4,2017,34,"1"
2017-09-11,1,2017,37,"1"
2017-09-18,1,2017,38,"1"
2017-09-25,1,2017,39,"1"
2017-10-16,5,2017,42,"1"
2017-10-30,3,2017,44,"1"
2017-11-06,1,2017,45,"1"
2017-11-13,5,2017,46,"1"
2017-11-20,4,2017,47,"1"
2017-11-27,5,2017,48,"1"
2017-12-04,2,2017,49,"1"
2017-12-18,1,2017,51,"1"
2017-12-25,5,2017,52,"1"
2018-01-01,5,2018,1,"1"
2018-01-08,5,2018,2,"1"
2018-01-22,1,2018,4,"1"
2018-02-19,2.33333333333333,2018,8,"1"
2018-02-26,4,2018,9,"1"
2018-03-12,1,2018,11,"1"
2018-03-19,1,2018,12,"1"
2018-03-26,3.33333333333333,2018,13,"1"
2018-04-09,4.25,2018,15,"1"
2018-04-16,5,2018,16,"1"
2018-04-23,3.66666666666667,2018,17,"1"
2018-04-30,4,2018,18,"1"
2018-05-14,3,2018,20,"1"
2018-06-04,4,2018,23,"1"
2018-06-11,2.33333333333333,2018,24,"1"
2018-06-18,2,2018,25,"1"
2018-06-25,4,2018,26,"1"
2018-07-09,5,2018,28,"1"
2018-07-16,2,2018,29,"1"
2018-07-23,2,2018,30,"1"
2018-08-06,5,2018,32,"1"
2018-08-13,2,2018,33,"1"
2018-08-27,5,2018,35,"1"
2018-09-03,1.5,2018,36,"1"
2018-09-17,1,2018,38,"1"
2018-10-08,1,2018,41,"1"
2018-10-15,3,2018,42,"1"
2018-10-22,3,2018,43,"1"
2018-10-29,1,2018,44,"1"
2018-11-05,1,2018,45,"1"
2018-11-12,5,2018,46,"1"
2018-11-19,1,2018,47,"1"
2018-11-26,5,2018,48,"1"
2018-12-10,5,2018,50,"1"
2018-12-17,5,2018,51,"1"
2018-12-24,4.5,2018,52,"1"
2018-12-31,3.66666666666667,2018,53,"1"
2019-01-07,5,2019,1,"1"
2019-01-14,1,2019,2,"1"
2019-01-21,2.66666666666667,2019,3,"1"
