"week_cut","Count","year","week","app"
2016-06-13,2,2016,24,"1"
2016-06-20,1,2016,25,"1"
2016-06-27,3,2016,26,"1"
2016-07-04,2,2016,27,"1"
2016-07-11,1,2016,28,"1"
2016-07-18,0,2016,29,"1"
2016-07-25,1,2016,30,"1"
2016-08-01,0,2016,31,"1"
2016-08-08,3,2016,32,"1"
2016-08-15,2,2016,33,"1"
2016-08-22,0,2016,34,"1"
2016-08-29,2,2016,35,"1"
2016-09-05,1,2016,36,"1"
2016-09-12,2,2016,37,"1"
2016-09-19,0,2016,38,"1"
2016-09-26,0,2016,39,"1"
2016-10-03,2,2016,40,"1"
2016-10-10,1,2016,41,"1"
2016-10-17,1,2016,42,"1"
2016-10-24,1,2016,43,"1"
2016-10-31,2,2016,44,"1"
2016-11-07,2,2016,45,"1"
2016-11-14,2,2016,46,"1"
2016-11-21,0,2016,47,"1"
2016-11-28,0,2016,48,"1"
2016-12-05,0,2016,49,"1"
2016-12-12,0,2016,50,"1"
2016-12-19,3,2016,51,"1"
2016-12-26,6,2016,52,"1"
2017-01-02,5,2017,1,"1"
2017-01-09,3,2017,2,"1"
2017-01-16,1,2017,3,"1"
2017-01-23,1,2017,4,"1"
2017-01-30,1,2017,5,"1"
2017-02-06,0,2017,6,"1"
2017-02-13,0,2017,7,"1"
2017-02-20,0,2017,8,"1"
2017-02-27,1,2017,9,"1"
2017-03-06,2,2017,10,"1"
2017-03-13,1,2017,11,"1"
2017-03-20,1,2017,12,"1"
2017-03-27,1,2017,13,"1"
2017-04-03,0,2017,14,"1"
2017-04-10,0,2017,15,"1"
2017-04-17,2,2017,16,"1"
2017-04-24,0,2017,17,"1"
2017-05-01,4,2017,18,"1"
2017-05-08,2,2017,19,"1"
2017-05-15,1,2017,20,"1"
2017-05-22,0,2017,21,"1"
2017-05-29,1,2017,22,"1"
2017-06-05,0,2017,23,"1"
2017-06-12,1,2017,24,"1"
2017-06-19,0,2017,25,"1"
2017-06-26,0,2017,26,"1"
2017-07-03,0,2017,27,"1"
2017-07-10,2,2017,28,"1"
2017-07-17,1,2017,29,"1"
2017-07-24,2,2017,30,"1"
2017-07-31,0,2017,31,"1"
2017-08-07,1,2017,32,"1"
2017-08-14,1,2017,33,"1"
2017-08-21,2,2017,34,"1"
2017-08-28,0,2017,35,"1"
2017-09-04,0,2017,36,"1"
2017-09-11,1,2017,37,"1"
2017-09-18,1,2017,38,"1"
2017-09-25,1,2017,39,"1"
2017-10-02,0,2017,40,"1"
2017-10-09,0,2017,41,"1"
2017-10-16,1,2017,42,"1"
2017-10-23,0,2017,43,"1"
2017-10-30,2,2017,44,"1"
2017-11-06,1,2017,45,"1"
2017-11-13,1,2017,46,"1"
2017-11-20,1,2017,47,"1"
2017-11-27,2,2017,48,"1"
2017-12-04,1,2017,49,"1"
2017-12-11,0,2017,50,"1"
2017-12-18,1,2017,51,"1"
2017-12-25,1,2017,52,"1"
2018-01-01,1,2018,1,"1"
2018-01-08,3,2018,2,"1"
2018-01-15,0,2018,3,"1"
2018-01-22,1,2018,4,"1"
2018-01-29,0,2018,5,"1"
2018-02-05,0,2018,6,"1"
2018-02-12,0,2018,7,"1"
2018-02-19,3,2018,8,"1"
2018-02-26,3,2018,9,"1"
2018-03-05,0,2018,10,"1"
2018-03-12,1,2018,11,"1"
2018-03-19,2,2018,12,"1"
2018-03-26,3,2018,13,"1"
2018-04-02,0,2018,14,"1"
2018-04-09,3,2018,15,"1"
2018-04-16,3,2018,16,"1"
2018-04-23,3,2018,17,"1"
2018-04-30,3,2018,18,"1"
2018-05-07,0,2018,19,"1"
2018-05-14,2,2018,20,"1"
2018-05-21,0,2018,21,"1"
2018-05-28,0,2018,22,"1"
2018-06-04,1,2018,23,"1"
2018-06-11,4,2018,24,"1"
2018-06-18,1,2018,25,"1"
2018-06-25,1,2018,26,"1"
2018-07-02,0,2018,27,"1"
2018-07-09,1,2018,28,"1"
2018-07-16,1,2018,29,"1"
2018-07-23,1,2018,30,"1"
2018-07-30,0,2018,31,"1"
2018-08-06,1,2018,32,"1"
2018-08-13,2,2018,33,"1"
2018-08-20,0,2018,34,"1"
2018-08-27,1,2018,35,"1"
2018-09-03,2,2018,36,"1"
2018-09-10,0,2018,37,"1"
2018-09-17,1,2018,38,"1"
2018-09-24,0,2018,39,"1"
2018-10-01,0,2018,40,"1"
2018-10-08,1,2018,41,"1"
2018-10-15,2,2018,42,"1"
2018-10-22,2,2018,43,"1"
2018-10-29,1,2018,44,"1"
2018-11-05,2,2018,45,"1"
2018-11-12,1,2018,46,"1"
2018-11-19,1,2018,47,"1"
2018-11-26,1,2018,48,"1"
2018-12-03,0,2018,49,"1"
2018-12-10,1,2018,50,"1"
2018-12-17,2,2018,51,"1"
2018-12-24,7,2018,52,"1"
2018-12-31,3,2018,53,"1"
2019-01-07,2,2019,1,"1"
2019-01-14,1,2019,2,"1"
2019-01-21,3,2019,3,"1"
2019-01-28,0,2019,4,"1"
2019-02-04,0,2019,5,"1"
2019-02-11,1,2019,6,"1"
2019-02-18,1,2019,7,"1"
2019-02-25,1,2019,8,"1"
2019-03-04,1,2019,9,"1"
2019-03-11,2,2019,10,"1"
2019-03-18,1,2019,11,"1"
2019-03-25,2,2019,12,"1"
2019-04-01,2,2019,13,"1"
2019-04-08,1,2019,14,"1"
2019-04-15,1,2019,15,"1"
2019-04-22,0,2019,16,"1"
2019-04-29,2,2019,17,"1"
2019-05-06,0,2019,18,"1"
2019-05-13,1,2019,19,"1"
2019-05-20,1,2019,20,"1"
2019-05-27,2,2019,21,"1"
2019-06-03,1,2019,22,"1"
2019-06-10,1,2019,23,"1"
2019-06-17,3,2019,24,"1"
2019-06-24,4,2019,25,"1"
2019-07-01,1,2019,26,"1"
2019-07-08,1,2019,27,"1"
2019-07-15,4,2019,28,"1"
2019-07-22,1,2019,29,"1"
2019-07-29,4,2019,30,"1"
2019-08-05,3,2019,31,"1"
2019-08-12,1,2019,32,"1"
2019-08-19,2,2019,33,"1"
2019-08-26,4,2019,34,"1"
2019-09-02,1,2019,35,"1"
2019-09-09,0,2019,36,"1"
2019-09-16,3,2019,37,"1"
2019-09-23,3,2019,38,"1"
2019-09-30,2,2019,39,"1"
2019-10-07,0,2019,40,"1"
2019-10-14,5,2019,41,"1"
2019-10-21,1,2019,42,"1"
2019-10-28,1,2019,43,"1"
2019-11-04,2,2019,44,"1"
2019-11-11,0,2019,45,"1"
2019-11-18,3,2019,46,"1"
2019-11-25,1,2019,47,"1"
2019-12-02,1,2019,48,"1"
2019-12-09,0,2019,49,"1"
2019-12-16,0,2019,50,"1"
