"week","stars","app"
1,4.22222222222222,"1"
2,4.4,"1"
3,5,"1"
4,2.8,"1"
5,5,"1"
6,3.75,"1"
7,3.66666666666667,"1"
8,1.8,"1"
9,4,"1"
10,4.5,"1"
11,1.6,"1"
12,2.6,"1"
13,3.66666666666667,"1"
14,3.5,"1"
15,4.5,"1"
16,3.7,"1"
17,3.5,"1"
18,4.28571428571429,"1"
19,2.92857142857143,"1"
20,3.4,"1"
21,3.5,"1"
22,4.33333333333333,"1"
23,4.5,"1"
24,3.25,"1"
25,3,"1"
26,4.16666666666667,"1"
27,3,"1"
28,5,"1"
29,3.14285714285714,"1"
30,3.5,"1"
31,4.16666666666667,"1"
32,3.83333333333333,"1"
33,2.08333333333333,"1"
34,3,"1"
35,3.83333333333333,"1"
36,3.4,"1"
37,2.33333333333333,"1"
38,3,"1"
39,3,"1"
40,3.25,"1"
41,1,"1"
42,4.3125,"1"
43,3.75,"1"
44,3.66666666666667,"1"
45,1,"1"
46,3.8,"1"
47,3.33333333333333,"1"
48,5,"1"
49,3.5,"1"
50,5,"1"
51,3.33333333333333,"1"
52,4.18181818181818,"1"
53,3,"1"
1,3.63839285714286,"2"
2,3.66211734693878,"2"
3,3.5310405643739,"2"
4,3.42974000206143,"2"
5,3.29668367346939,"2"
6,3.46233098177543,"2"
7,3.28503821281599,"2"
8,3.19714472770028,"2"
9,3.41001984126984,"2"
10,3.34563492063492,"2"
11,3.54397675736961,"2"
12,3.28737244897959,"2"
13,3.56065148842927,"2"
14,3.508,"2"
15,3.50511294261294,"2"
16,3.63751546072975,"2"
17,3.51254895897753,"2"
18,3.27019230769231,"2"
19,3.2788868869226,"2"
20,3.31493239271017,"2"
21,3.4304126984127,"2"
22,3.24700963718821,"2"
23,3.39157848324515,"2"
24,3.55079116286013,"2"
25,3.54760487528345,"2"
26,3.49159451659452,"2"
27,3.35429094714809,"2"
28,3.56956555349413,"2"
29,3.5070970363454,"2"
30,3.53332778332778,"2"
31,3.4233701814059,"2"
32,3.47690725811856,"2"
33,3.58459090512662,"2"
34,3.35206370426959,"2"
35,3.5815811172954,"2"
36,3.56631235827664,"2"
37,3.75943114425257,"2"
38,3.64125309214595,"2"
39,3.68993932654647,"2"
40,3.62728937728938,"2"
41,3.75374149659864,"2"
42,3.47946606964464,"2"
43,3.80881083202512,"2"
44,3.56143445032334,"2"
45,3.62543934240363,"2"
46,3.53988095238095,"2"
47,3.25565733869305,"2"
48,3.44394507803121,"2"
49,3.59503908789623,"2"
50,3.76481524427953,"2"
51,3.67792465471037,"2"
52,3.42901234567901,"2"
53,3.69,"2"
1,4.00847619047619,"3"
2,3.69571524966262,"3"
3,3.22561327561328,"3"
4,3.18775166632309,"3"
5,3.56345196324144,"3"
6,3.45689177489177,"3"
7,3.20290790558648,"3"
8,3.60672877846791,"3"
9,3.68354037267081,"3"
10,3.19866255144033,"3"
11,3.56826923076923,"3"
12,3.416,"3"
13,3.19333333333333,"3"
14,3.21994047619048,"3"
15,3.41730769230769,"3"
16,3.60266666666667,"3"
17,3.74814814814815,"3"
18,2.94920634920635,"3"
19,3.53968253968254,"3"
20,3.18434065934066,"3"
21,3.5804347826087,"3"
22,3.49891774891775,"3"
23,3.51923076923077,"3"
24,3.05613553113553,"3"
25,3.38140096618358,"3"
26,3.88743961352657,"3"
27,3.49242424242424,"3"
28,3.76505102040816,"3"
29,3.30448717948718,"3"
30,3.78765432098765,"3"
31,3.74283309283309,"3"
32,3.45021367521368,"3"
33,3.30160383597884,"3"
34,3.88827160493827,"3"
35,3.46509353741497,"3"
36,3.26570048309179,"3"
37,3.85416666666667,"3"
38,3.2525641025641,"3"
39,3.08205128205128,"3"
40,3.20929487179487,"3"
41,3.878,"3"
42,4.24603174603175,"3"
43,3.69532279314888,"3"
44,3.5804347826087,"3"
45,4.02971014492754,"3"
46,3.29130434782609,"3"
47,3.56868686868687,"3"
48,3.64583333333333,"3"
49,3.90535714285714,"3"
50,3.9359649122807,"3"
51,3.82530864197531,"3"
52,3.4371635610766,"3"
53,4.7,"3"
1,2.70833333333333,"4"
2,3.26388888888889,"4"
3,3.38461538461538,"4"
4,2.33333333333333,"4"
5,2.8,"4"
6,3.72727272727273,"4"
7,3.16666666666667,"4"
8,2.90740740740741,"4"
9,3,"4"
10,2.59375,"4"
11,2.75,"4"
12,3.45454545454545,"4"
13,2.44444444444444,"4"
14,1.90740740740741,"4"
15,3.6,"4"
16,3,"4"
17,2.94444444444444,"4"
18,3.2962962962963,"4"
19,3.18181818181818,"4"
20,2.75,"4"
21,3.54666666666667,"4"
22,3.17777777777778,"4"
23,2.88461538461538,"4"
24,3.05294117647059,"4"
25,2.82894736842105,"4"
26,3.08796296296296,"4"
27,2.72058823529412,"4"
28,2.2843137254902,"4"
29,2.7875,"4"
30,2.51754385964912,"4"
31,3.96078431372549,"4"
32,2.98245614035088,"4"
33,2.13888888888889,"4"
34,2.76111111111111,"4"
35,2.62254901960784,"4"
36,2.9047619047619,"4"
37,2.34375,"4"
38,3.5530303030303,"4"
39,2.82222222222222,"4"
40,3.04761904761905,"4"
41,2.57692307692308,"4"
42,3.221875,"4"
43,3.84375,"4"
44,3.50833333333333,"4"
45,3.14444444444444,"4"
46,3.22222222222222,"4"
47,3.40740740740741,"4"
48,3.275,"4"
49,2.875,"4"
50,2.15909090909091,"4"
51,3.11538461538462,"4"
52,2.75,"4"
53,4,"4"
1,4.29046494892471,"5"
2,4.39597065329489,"5"
3,4.26659000301985,"5"
4,4.24143456920386,"5"
5,4.27115325672256,"5"
6,4.29421414569769,"5"
7,4.37163097795451,"5"
8,4.27974043796165,"5"
9,4.22843527661189,"5"
10,4.40554115632389,"5"
11,4.30478717150689,"5"
12,4.25425853329317,"5"
13,4.32991586128301,"5"
14,4.28110388364163,"5"
15,4.27149564491997,"5"
16,4.22871845775694,"5"
17,4.21272379395652,"5"
18,4.312680059912,"5"
19,4.35432690850233,"5"
20,4.13885899168852,"5"
21,4.22004894524207,"5"
22,4.19081943046907,"5"
23,4.33590081136114,"5"
24,4.23848995202061,"5"
25,4.2204571725158,"5"
26,4.33712890683362,"5"
27,4.36316143006664,"5"
28,4.38593453262739,"5"
29,4.36107994278942,"5"
30,4.32481936860125,"5"
31,4.22155584851467,"5"
32,4.38948756331831,"5"
33,4.3333257737813,"5"
34,4.36605681963701,"5"
35,4.41123374508103,"5"
36,4.44747158096347,"5"
37,4.51674801148838,"5"
38,4.38309022149144,"5"
39,4.42860624671195,"5"
40,4.35707460468732,"5"
41,4.41978315220113,"5"
42,4.29884401415369,"5"
43,4.40650418367373,"5"
44,4.37002915335504,"5"
45,4.35608633624783,"5"
46,4.23973871993392,"5"
47,4.20849800008658,"5"
48,4.32092270689072,"5"
49,4.16722007244029,"5"
50,4.21775966123271,"5"
51,4.25072003954841,"5"
52,4.27525088021105,"5"
53,4.40442784580716,"5"
1,4.5475590319969,"6"
2,4.486502232582,"6"
3,4.49459003817371,"6"
4,4.36213289803101,"6"
5,4.62381479443741,"6"
6,4.46386075400761,"6"
7,4.4381277794613,"6"
8,4.46154061979221,"6"
9,4.48710875881335,"6"
10,4.45622295166377,"6"
11,4.51102566671552,"6"
12,4.49784503652199,"6"
13,4.52088516378377,"6"
14,4.39919588325347,"6"
15,4.41671400932168,"6"
16,4.5004395265053,"6"
17,4.4019153707567,"6"
18,4.57865755648005,"6"
19,4.54656412225843,"6"
20,4.48345790074611,"6"
21,4.50789914685099,"6"
22,4.48621428608984,"6"
23,4.40710335645522,"6"
24,4.58364913179822,"6"
25,4.4554644628613,"6"
26,4.56070007659086,"6"
27,4.31019936100713,"6"
28,4.52644568146419,"6"
29,4.4783308251631,"6"
30,4.44546785283664,"6"
31,4.44028888282396,"6"
32,4.30577996722154,"6"
33,4.38387319816644,"6"
34,4.52648031109813,"6"
35,4.40436533287834,"6"
36,4.50019351337062,"6"
37,4.48900342213816,"6"
38,4.53607023611377,"6"
39,4.39631881543214,"6"
40,4.54969946228633,"6"
41,4.59864228067206,"6"
42,4.55881057816757,"6"
43,4.53514831024095,"6"
44,4.51493731026392,"6"
45,4.58561532742043,"6"
46,4.49256287608309,"6"
47,4.48613096367865,"6"
48,4.53922263202504,"6"
49,4.36464490917549,"6"
