"week_cut","sentiment","year","week","app"
2016-06-13,0.03,2016,24,"1"
2016-06-20,1,2016,25,"1"
2016-06-27,0.41,2016,26,"1"
2016-07-04,-0.05,2016,27,"1"
2016-07-11,0,2016,28,"1"
2016-07-25,0.42,2016,30,"1"
2016-08-08,-0.13,2016,32,"1"
2016-08-15,0.18,2016,33,"1"
2016-08-29,0.38,2016,35,"1"
2016-09-05,0.35,2016,36,"1"
2016-09-12,0.11,2016,37,"1"
2016-10-03,0.07,2016,40,"1"
2016-10-10,-0.03,2016,41,"1"
2016-10-17,0.36,2016,42,"1"
2016-10-24,0.85,2016,43,"1"
2016-10-31,-0.16,2016,44,"1"
2016-11-07,0.43,2016,45,"1"
2016-11-14,0.62,2016,46,"1"
2016-12-19,0.15,2016,51,"1"
2016-12-26,0.26,2016,52,"1"
2017-01-02,0.28,2017,1,"1"
2017-01-09,0.53,2017,2,"1"
2017-01-16,1,2017,3,"1"
2017-01-23,0.42,2017,4,"1"
2017-01-30,0.35,2017,5,"1"
2017-02-27,0.95,2017,9,"1"
2017-03-06,-0.2,2017,10,"1"
2017-03-13,-0.08,2017,11,"1"
2017-03-20,0.26,2017,12,"1"
2017-03-27,-0.26,2017,13,"1"
2017-04-17,0.27,2017,16,"1"
2017-05-01,0.16,2017,18,"1"
2017-05-08,-0.08,2017,19,"1"
2017-05-15,0.36,2017,20,"1"
2017-05-29,0.71,2017,22,"1"
2017-06-12,0.58,2017,24,"1"
2017-07-10,0.53,2017,28,"1"
2017-07-17,-0.07,2017,29,"1"
2017-07-24,-0.15,2017,30,"1"
2017-08-07,0.38,2017,32,"1"
2017-08-14,-0.25,2017,33,"1"
2017-08-21,0.46,2017,34,"1"
2017-09-11,-0.24,2017,37,"1"
2017-09-18,-0.12,2017,38,"1"
2017-09-25,-0.42,2017,39,"1"
2017-10-16,0.35,2017,42,"1"
2017-10-30,0.12,2017,44,"1"
2017-11-06,-0.53,2017,45,"1"
2017-11-13,0,2017,46,"1"
2017-11-20,0,2017,47,"1"
2017-11-27,0.36,2017,48,"1"
2017-12-04,0,2017,49,"1"
2017-12-18,0.46,2017,51,"1"
2017-12-25,-0.02,2017,52,"1"
