"words1","pct1","words2","pct2","words3","pct3","words4","pct4","words5","pct5","words6","pct6","words7","pct7","words8","pct8"
"app",70.8,"app",69.1,"app",57.9,"app",56.1,"app",39.7,"app",37.4,"app",57.9,"app",44.6
"map",40.4,"use",32.9,"use",45.7,"use",41.2,"good",23.5,"map",26.4,"use",32.4,"map",39.3
"use",26.4,"map",27.3,"map",30.1,"map",36.5,"use",20.5,"use",23,"waze",24.6,"use",25.2
"work",25.6,"work",25,"work",21.7,"work",32.5,"map",19.3,"good",20.7,"map",20.3,"offlin",22.3
"good",22.7,"tomtom",21.4,"updat",19.5,"good",22.6,"great",13.8,"great",13.3,"time",18.9,"good",18.5
"great",18.4,"good",20,"good",19,"updat",20.9,"navig",11.3,"offlin",13.2,"work",17.1,"navig",15.4
"connect",13.7,"updat",16.6,"now",18.5,"now",18.9,"work",10.5,"best",10.6,"rout",15.9,"best",15.4
"purchas",11.2,"great",16.2,"rout",18,"rout",15.8,"best",10.2,"work",9.1,"googl",15.2,"work",14.1
"can",10.8,"tom",14.7,"copilot",17.1,"great",14.9,"sygic",8.6,"nice",6.5,"good",12.8,"great",12.6
"like",10.8,"phone",13.1,"great",16.7,"get",14.1,"updat",7.7,"navig",6.1,"great",12.3,"download",8.8
"navig",10.8,"time",13,"year",14.9,"time",14,"nice",6.7,"help",6,"love",12.2,"googl",8.7
"phone",10.5,"just",13,"time",14.6,"download",12.9,"time",6.7,"travel",6,"get",11.8,"updat",8.6
"need",10.5,"get",13,"road",14,"navig",12.4,"gps",6.1,"love",5.6,"gps",11.8,"love",7.3
"dont",10.1,"now",12.7,"get",12.7,"just",11.7,"like",6,"rout",5.4,"updat",10.9,"rout",7.1
"free",9.4,"year",12.2,"version",12.5,"find",11.3,"love",6,"download",5.1,"drive",10,"like",6.8
"get",9.4,"navig",11.8,"new",12.2,"doesnt",11.1,"rout",5.9,"like",5.1,"like",9.9,"time",6.6
"road",9,"need",11.2,"navig",11.5,"can",10.9,"offlin",5.5,"thank",4.9,"road",9.7,"gps",6.6
"updat",8.3,"download",10.4,"just",10.9,"navmii",10.6,"get",5.1,"can",4.9,"traffic",9.7,"need",6.4
"rout",8.3,"like",10.3,"need",10.6,"even",10.3,"now",5,"updat",4.8,"navig",9.4,"can",6
"one",8.3,"rout",10.2,"like",10.5,"tri",10.1,"just",4.9,"need",4.6,"best",9.1,"better",5.5
